NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,C0000,"768.77","5199.45","2642.21"
AT1,C0000,"489.76","2831.23","1069.47"
AT11,C0000,"85.97","471.12","185.08"
AT12,C0000,"401.63","2349.42","878.73"
AT13,C0000,"2.16","10.69","5.66"
AT2,C0000,"103.16","988.79","572.96"
AT21,C0000,"29.97","260.52","210.22"
AT22,C0000,"73.19","728.26","362.74"
AT3,C0000,"175.85","1379.43","999.78"
AT31,C0000,"173.51","1367.2","507.71"
AT32,C0000,"1.4","7.54","173.67"
AT33,C0000,"0.72","3.76","241.6"
AT34,C0000,"0.22","0.94","76.8"
BE,C0000,"307.52","2581.54","1355.86"
BE1,C0000,"1","8.24","3.05"
BE10,C0000,"1","8.24","3.05"
BE2,C0000,"125.53","1132.97","620.2"
BE21,C0000,"7.83","63.61","96.52"
BE22,C0000,"18.42","157.47","86.29"
BE23,C0000,"28.59","263.89","147.72"
BE24,C0000,"32.47","290.07","88.31"
BE25,C0000,"38.22","357.93","201.36"
BE3,C0000,"180.99","1440.32","732.62"
BE31,C0000,"25.28","216.09","64.7"
BE32,C0000,"67.27","562.46","209.64"
BE33,C0000,"29.02","243.16","158.78"
BE34,C0000,"12.76","68","143.33"
BE35,C0000,"46.66","350.62","156.17"
BG,C0000,"1879.4","10243.74","5038.23"
BG1,C0000,,,
BG3,C0000,"1628.47","9233.35","3662.04"
BG31,C0000,"476.58","2839.05","1055.2"
BG32,C0000,"402.55","2525.02","805.59"
BG33,C0000,"443.11","2479.86","881.48"
BG34,C0000,"306.22","1389.42","919.77"
BG4,C0000,"250.93","1010.39","1376.19"
BG41,C0000,"80.15","289.7","593.44"
BG42,C0000,"170.78","720.69","782.75"
CY,C0000,"24.05","46.47","126.15"
CZ,C0000,"1347.34","7685.52","3524.38"
CZ0,C0000,"1347.34","7685.52","3524.38"
CZ01,C0000,"5.63","33.72","10.9"
CZ02,C0000,"261.85","1525.74","552.22"
CZ03,C0000,"237.27","1296.53","739.16"
CZ04,C0000,"109.91","633.47","316.62"
CZ05,C0000,"190.77","1097.99","569.83"
CZ06,C0000,"328.06","1855.86","725.49"
CZ07,C0000,"149.8","886.08","397.31"
CZ08,C0000,"64.07","356.14","212.85"
DE,C0000,"6188.7","42719.22","16636.98"
DE1,C0000,"470.5","3474.46","1412.48"
DE11,C0000,,,
DE12,C0000,,,
DE13,C0000,,,
DE14,C0000,,,
DE2,C0000,"1078.84","7761.14","3107.04"
DE21,C0000,,,
DE22,C0000,,,
DE23,C0000,,,
DE24,C0000,,,
DE25,C0000,,,
DE26,C0000,,,
DE27,C0000,,,
DE3,C0000,"0.6",,"1.84"
DE30,C0000,,,
DE4,C0000,"513.1","2509.54","1316"
DE40,C0000,,,
DE5,C0000,"0.66",,"8.02"
DE50,C0000,,,
DE6,C0000,"2.46",,"14.6"
DE60,C0000,,,
DE7,C0000,"293.14","2011.4","768"
DE71,C0000,,,
DE72,C0000,,,
DE73,C0000,,,
DE8,C0000,"561.94","3879.7","1346.2"
DE80,C0000,,,
DE9,C0000,"862.26","6120.62","2581.64"
DE91,C0000,,,
DE92,C0000,,,
DE93,C0000,,,
DE94,C0000,,,
DEA,C0000,"580.26","4504.6","1473.78"
DEA1,C0000,,,
DEA2,C0000,,,
DEA3,C0000,,,
DEA4,C0000,,,
DEA5,C0000,,,
DEB,C0000,"224.02","1520.08","706.46"
DEB1,C0000,,,
DEB2,C0000,,,
DEB3,C0000,,,
DEC,C0000,"20","109.76","74.62"
DEC0,C0000,,,
DED,C0000,"380.64","2575.52","899.34"
DED2,C0000,,,
DED4,C0000,,,
DED5,C0000,,,
DEE,C0000,"547.18","3363.68","1165.58"
DEE0,C0000,,,
DEF,C0000,"294.5","2361.9","985.4"
DEF0,C0000,,,
DEG,C0000,"358.52","2467.72","775.98"
DEG0,C0000,,,
DEW,C0000,,,
DK,C0000,"1391.88","8886.48","2625.64"
DK0,C0000,"1391.88","8886.47","2625.64"
DK01,C0000,"51.48","328.38","102.51"
DK02,C0000,"276.06","1960.1","472.12"
DK03,C0000,"390.98","2436.18","773.66"
DK04,C0000,"427.2","2653.44","790.68"
DK05,C0000,"246.18","1508.37","486.67"
EE,C0000,"356.54","1354.97","985.41"
EE0,C0000,,,
EL,C0000,"763.8","3032.65","5199.68"
EL1,C0000,,,
EL11,C0000,,,
EL12,C0000,,,
EL13,C0000,,,
EL14,C0000,,,
EL2,C0000,,,
EL21,C0000,,,
EL22,C0000,,,
EL23,C0000,,,
EL24,C0000,,,
EL25,C0000,,,
EL3,C0000,"3.52","8.83","81.57"
EL30,C0000,"3.52","8.83","81.57"
EL4,C0000,"21.8","22.03","1029.92"
EL41,C0000,"9.72","8.71","188.56"
EL41_42,C0000,,,
EL42,C0000,"5.8","7.77","139.13"
EL43,C0000,"6.28","5.55","702.23"
EL5,C0000,"438.88","1897.2","1876.77"
EL51,C0000,"95.18","527.45","495.35"
EL52,C0000,"243.18","996.67","762.61"
EL53,C0000,"93.25","326.49","303.63"
EL54,C0000,"7.26","46.59","315.18"
EL6,C0000,"299.6","1104.58","2211.43"
EL61,C0000,"162.65","694.94","655.53"
EL62,C0000,"3.34","4.99","93.17"
EL63,C0000,"50.86","118.96","455.56"
EL64,C0000,"67.7","248.7","519.71"
EL65,C0000,"15.06","37","487.45"
ES,C0000,"6024.47","23198.36","24253.86"
ES1,C0000,"36.9","160.95","1628.1"
ES11,C0000,"35.43","157.52","936.6"
ES12,C0000,"0.52","1.29","431.53"
ES13,C0000,"0.96","2.14","259.97"
ES2,C0000,"1163.65","5204.17","3205.56"
ES21,C0000,"43.9","272.28","201.35"
ES22,C0000,"189.49","1006.26","424.96"
ES23,C0000,"49.81","248.55","236.48"
ES24,C0000,"880.45","3677.09","2342.76"
ES3,C0000,"82.78","248.85","341.63"
ES30,C0000,"82.78","248.85","341.63"
ES4,C0000,"3583.49","13196.05","11771.14"
ES41,C0000,"1972.67","7822.89","5161.37"
ES42,C0000,"1341.96","4048.87","3999.06"
ES43,C0000,"268.86","1324.29","2610.71"
ES5,C0000,"417.66","1944.93","1975.75"
ES51,C0000,"333.85","1706.01","1064.22"
ES52,C0000,"41.74","187.9","694.46"
ES53,C0000,"42.06","51.01","217.07"
ES6,C0000,"738.28","2440.73","5220.41"
ES61,C0000,"690.09","2352.2","4812.2"
ES62,C0000,"48.2","88.52","408.21"
ES63,C0000,"0","0","0"
ES64,C0000,"0","0","0"
ES7,C0000,"1.72","2.68","111.27"
ES70,C0000,"1.72","2.68","111.27"
FI,C0000,"924.63","3266","2271.18"
FI1,C0000,"921.18","3252.71","2254.78"
FI13,C0000,,,
FI18,C0000,,,
FI19,C0000,"353.36","1286.47","787.74"
FI1A,C0000,,,
FI1B,C0000,"94.33","315.89","181.22"
FI1C,C0000,"335.98","1199.11","614.26"
FI1D,C0000,"137.58","451.06","671.58"
FI2,C0000,"3.46","13.29","16.44"
FI20,C0000,"3.46","13.29","16.44"
FR,C0000,"9204.12","64736.23","29010.89"
FR1,C0000,"364.04","2822.28","585.91"
FR10,C0000,"364.04","2822.28","585.91"
FR2,C0000,,,
FR21,C0000,,,
FR22,C0000,,,
FR23,C0000,,,
FR24,C0000,,,
FR25,C0000,,,
FR26,C0000,,,
FR3,C0000,,,
FR30,C0000,,,
FR4,C0000,,,
FR41,C0000,,,
FR42,C0000,,,
FR43,C0000,,,
FR5,C0000,,,
FR51,C0000,,,
FR52,C0000,,,
FR53,C0000,,,
FR6,C0000,,,
FR61,C0000,,,
FR62,C0000,,,
FR63,C0000,,,
FR7,C0000,,,
FR71,C0000,,,
FR72,C0000,,,
FR8,C0000,,,
FR81,C0000,,,
FR82,C0000,,,
FR83,C0000,,,
FR9,C0000,,,
FR91,C0000,,,
FR92,C0000,,,
FR93,C0000,,,
FR94,C0000,,,
FRA,C0000,,,
FRA1,C0000,,,
FRA2,C0000,,,
FRA3,C0000,,,
FRA4,C0000,,,
FRA5,C0000,,,
FRB,C0000,"1232.23","8379.72","2389.86"
FRB0,C0000,"1232.23","8379.72","2389.86"
FRC,C0000,"739.46","4590.93","2549.1"
FRC1,C0000,"607.78","3728.38","1833.28"
FRC2,C0000,"131.68","862.56","715.82"
FRD,C0000,"632.79","4892.47","2077.08"
FRD1,C0000,"296.54","2139.44","1271.58"
