NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,W1000,"47.916","347.776","2642.214"
AT11,W1000,"12.79387545","92.86394607","185.08"
AT12,W1000,"27.62891119","200.5435904","878.73"
AT13,W1000,"0.595745346","4.324199016","5.662"
AT21,W1000,"0.078130537","0.567108068","210.216"
AT22,W1000,"4.492505885","32.60871389","362.742"
AT31,W1000,"0.029298951","0.212665525","507.71"
AT32,W1000,"0","0","173.67"
AT33,W1000,"0","0","241.6"
AT34,W1000,"0.019532634","0.141777017","76.8"
BE,W1000,"0","0","1355.864"
BE10,W1000,"0","0","3.048"
BE21,W1000,"0","0","96.518"
BE22,W1000,"0","0","86.294"
BE23,W1000,"0","0","147.72"
BE24,W1000,"0","0","88.31"
BE25,W1000,"0","0","201.36"
BE31,W1000,"0","0","64.704"
BE32,W1000,"0","0","209.64"
BE33,W1000,"0","0","158.78"
BE34,W1000,"0","0","143.332"
BE35,W1000,"0","0","156.166"
BG,W1000,"29.86917957","171.9705666","5038.226"
BG31,W1000,"2.375636739","14.05007224","1055.198"
BG32,W1000,"1.805804954","10.67995356","805.586"
BG33,W1000,"2.841133127","16.80312693","881.482"
BG34,W1000,"10.56195253","62.46586171","919.772"
BG41,W1000,"2.31945614","13.71780702","593.444"
BG42,W1000,"11.22809391","66.40557792","782.748"
CY,W1000,"1.157276667","5.765426667","126.15"
CZ,W1000,"16.0075739","86.10937683","3524.376"
CZ01,W1000,"0.02139281","0.115011984","10.898"
CZ02,W1000,"0.342284953","1.840191744","552.224"
CZ03,W1000,"0","0","739.158"
CZ04,W1000,"0.320892144","1.72517976","316.616"
CZ05,W1000,"0.010696405","0.057505992","569.826"
CZ06,W1000,"15.09262716","81.14095473","725.494"
CZ07,W1000,"0.299499334","1.610167776","397.306"
CZ08,W1000,"0","0","212.85"
DE,W1000,"0","0","16636.98"
DE11,Vitis v.,"6.7055","0","0"
DE12,Vitis v.,"6.7055","0","0"
DE13,Vitis v.,"6.7055","0","0"
DE14,Vitis v.,"6.7055","0","0"
DE21,Vitis v.,"0.872571429","0","0"
DE22,Vitis v.,"0.872571429","0","0"
DE23,Vitis v.,"0.872571429","0","0"
DE24,Vitis v.,"0.872571429","0","0"
DE25,Vitis v.,"0.872571429","0","0"
DE26,Vitis v.,"0.872571429","0","0"
DE27,Vitis v.,"0.872571429","0","0"
DE30,Vitis v.,,"0","0"
DE40,Vitis v.,,"0","0"
DE50,Vitis v.,,"0","0"
DE60,Vitis v.,,"0","0"
DE71,Vitis v.,"1.211222222","0","0"
DE72,Vitis v.,"1.211222222","0","0"
DE73,Vitis v.,"1.211222222","0","0"
DE80,Vitis v.,"0.004666667","0","0"
DE91,Vitis v.,,"0","0"
DE92,Vitis v.,,"0","0"
DE93,Vitis v.,,"0","0"
DE94,Vitis v.,,"0","0"
DEA1,Vitis v.,,"0","0"
DEA2,Vitis v.,,"0","0"
DEA3,Vitis v.,,"0","0"
DEA4,Vitis v.,,"0","0"
DEA5,Vitis v.,,"0","0"
DEB1,Vitis v.,"20.88966667","0","0"
DEB2,Vitis v.,"20.88966667","0","0"
DEB3,Vitis v.,"20.88966667","0","0"
DEC0,Vitis v.,"0.126","0","0"
DED2,Vitis v.,"0.156","0","0"
DED4,Vitis v.,"0.156","0","0"
DED5,Vitis v.,"0.156","0","0"
DEE0,Vitis v.,"0.673666667","0","0"
DEF0,Vitis v.,,"0","0"
DEG0,Vitis v.,"0.115666667","0","0"
DK,W1000,"0","0","2625.64"
DK01,W1000,"0","0","102.512"
DK02,W1000,"0","0","472.124"
DK03,W1000,"0","0","773.656"
DK04,W1000,"0","0","790.678"
DK05,W1000,"0","0","486.67"
EE,W1000,"0","0","985.408"
EE00,W1000,"0","0","0"
EL,W1000,"97.6526606","927.5759353","5199.684"
EL30,W1000,"6.5307745","57.61532826","81.57"
EL41,W1000,"2.663690635","23.4994196","188.556"
EL42,W1000,"3.393839337","29.94088487","139.13"
EL43,W1000,"16.67172869","147.0801237","702.23"
EL51,W1000,"5.381466359","47.47598478","495.346"
EL52,W1000,"7.409657197","65.36894386","762.608"
EL53,W1000,"2.866509719","25.28871551","303.634"
EL54,W1000,"0.594935979","5.248601332","315.176"
EL61,W1000,"4.975828191","43.89739296","655.526"
EL62,W1000,"3.407360609","30.06017127","93.174"
EL63,W1000,"15.99566508","141.115804","455.556"
EL64,W1000,"6.598380862","58.21176023","519.714"
EL65,W1000,"22.95912029","202.5482969","487.454"
ES,W1000,"909.5143065","7321.292888","24253.86"
ES11,W1000,"10.67281712","70.81017052","936.598"
ES12,W1000,"0.022977001","0.152443855","431.53"
ES13,W1000,"0.022977001","0.152443855","259.972"
