NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,C1500,"214.17","2270.41","2642.21"
AT1,C1500,"98.96","943.17","1069.47"
AT11,C1500,"22.53","194.24","185.08"
AT12,C1500,"76.27","747.44","878.73"
AT13,C1500,"0.17","1.49","5.66"
AT2,C1500,"63.71","761.84","572.96"
AT21,C1500,"15.88","182.23","210.22"
AT22,C1500,"47.83","579.61","362.74"
AT3,C1500,"51.5","565.41","999.78"
AT31,C1500,"51.32","563.44","507.71"
AT32,C1500,"0.13","1.32","173.67"
AT33,C1500,"0.04","0.46","241.6"
AT34,C1500,"0.02","0.18","76.8"
BE,C1500,"50.35","436.12","1355.86"
BE1,C1500,"0.07","0.61","3.05"
BE10,C1500,"0.07","0.61","3.05"
BE2,C1500,"44.22","385.3","620.2"
BE21,C1500,"5.21","39.65","96.52"
BE22,C1500,"6.09","48.26","86.29"
BE23,C1500,"12.63","110.58","147.72"
BE24,C1500,"9.65","85.91","88.31"
BE25,C1500,"10.64","100.89","201.36"
BE3,C1500,"6.06","50.21","732.62"
BE31,C1500,"1.58","13.45","64.7"
BE32,C1500,"3.23","27.45","209.64"
BE33,C1500,"0.56","4.51","158.78"
BE34,C1500,"0.16","0.91","143.33"
BE35,C1500,"0.53","3.89","156.17"
BG,C1500,"511.65","3326.79","5038.23"
BG1,C1500,,,
BG3,C1500,"488.79","3206.65","3662.04"
BG31,C1500,"186.62","1204.72","1055.2"
BG32,C1500,"151.07","1035.44","805.59"
BG33,C1500,"139.54","911.33","881.48"
BG34,C1500,"11.57","55.16","919.77"
BG4,C1500,"22.85","120.14","1376.19"
BG41,C1500,"13.42","67.06","593.44"
BG42,C1500,"9.44","53.08","782.75"
CY,C1500,"0","0","126.15"
CZ,C1500,"86.47","702.21","3524.38"
CZ0,C1500,"86.47","702.21","3524.38"
CZ01,C1500,"0.18","1.57","10.9"
CZ02,C1500,"11.91","101.14","552.22"
CZ03,C1500,"3.77","28.94","739.16"
CZ04,C1500,"2.49","21.28","316.62"
CZ05,C1500,"10.9","89.11","569.83"
CZ06,C1500,"41.68","327.26","725.49"
CZ07,C1500,"12.72","109.93","397.31"
CZ08,C1500,"2.81","22.98","212.85"
DE,C1500,"421.78","4007.82","16636.98"
DE1,C1500,"60","625.1","1412.48"
DE11,C1500,,,
DE12,C1500,,,
DE13,C1500,,,
DE14,C1500,,,
DE2,C1500,"119.16","1253.74","3107.04"
DE21,C1500,,,
DE22,C1500,,,
DE23,C1500,,,
DE24,C1500,,,
DE25,C1500,,,
DE26,C1500,,,
DE27,C1500,,,
DE3,C1500,"0",,"1.84"
DE30,C1500,,,
DE4,C1500,"19.92","139.94","1316"
DE40,C1500,,,
DE5,C1500,"0",,"8.02"
DE50,C1500,,,
DE6,C1500,,,"14.6"
DE60,C1500,,,
DE7,C1500,"9.94","91.84","768"
DE71,C1500,,,
DE72,C1500,,,
DE73,C1500,,,
DE8,C1500,"5.2","37.36","1346.2"
DE80,C1500,,,
DE9,C1500,"73.96","638.08","2581.64"
DE91,C1500,,,
DE92,C1500,,,
DE93,C1500,,,
DE94,C1500,,,
DEA,C1500,"86.66","845.22","1473.78"
DEA1,C1500,,,
DEA2,C1500,,,
DEA3,C1500,,,
DEA4,C1500,,,
DEA5,C1500,,,
DEB,C1500,"9.64","85.14","706.46"
