NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,F3000,"0.62","6.56","2642.21"
AT11,F3000,"0","0","0"
AT12,F3000,"0.08","3.09","22.65"
AT13,F3000,"0","0","0"
AT21,F3000,"0.01","0.51","3.77"
AT22,F3000,"0.46","17.74","130.22"
AT31,F3000,"0.12","4.63","33.97"
AT32,F3000,"0.01","0.26","1.89"
AT33,F3000,"0.02","0.77","5.66"
AT34,F3000,"0.01","0.26","1.89"
BE,F3000,"0.42","4.98","1355.86"
BE10,F3000,"0","0","0"
BE21,F3000,"0.01","0.32","0.78"
BE22,F3000,"0.14","4.49","10.9"
BE23,F3000,"0.01","0.32","0.78"
BE24,F3000,"0.01","0.32","0.78"
BE25,F3000,"0.06","1.93","4.67"
BE31,F3000,"0","0","0"
BE32,F3000,"0","0","0"
BE33,F3000,"0.02","0.64","1.56"
BE34,F3000,"0","0","0"
BE35,F3000,"0","0","0"
BG,F3000,"2.69","8.34","5038.23"
BG31,F3000,"0.18","0.96","21.8"
BG32,F3000,"0.19","1","22.64"
BG33,F3000,"0.39","2.11","47.8"
BG34,F3000,"0.21","1.15","26"
BG41,F3000,"0.28","1.52","34.38"
BG42,F3000,"0.46","2.48","56.19"
CY,F3000,"0","0","126.15"
CZ,F3000,"0.83","1.53","3524.38"
CZ01,F3000,"0.01","0.08","1.93"
CZ02,F3000,"0.12","1.18","29.02"
CZ03,F3000,"0.03","0.31","7.74"
CZ04,F3000,"0","0","0"
CZ05,F3000,"0.27","2.68","65.77"
CZ06,F3000,"0.05","0.47","11.61"
CZ07,F3000,"0.05","0.47","11.61"
CZ08,F3000,"0.04","0.39","9.67"
DE,F3000,"9.24","40.76","16636.98"
DE11,F3000,"0","0","0"
DE12,F3000,"0","0","0"
DE13,F3000,"0","0","0"
DE14,F3000,"0","0","0"
DE21,F3000,"0","0","0"
DE22,F3000,"0","0","0"
DE23,F3000,"0","0","0"
DE24,F3000,"0","0","0"
DE25,F3000,"0","0","0"
DE26,F3000,"0","0","0"
DE27,F3000,"0","0","0"
DE30,F3000,"0","0","0"
DE40,F3000,"0","0","0"
DE50,F3000,"0","0","0"
DE60,F3000,"0","0","0"
DE71,F3000,"0","0","0"
DE72,F3000,"0","0","0"
DE73,F3000,"0","0","0"
DE80,F3000,"0","0","0"
DE91,F3000,"0","0","0"
DE92,F3000,"0","0","0"
DE93,F3000,"0","0","0"
