NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT,C1600,"55.58","296.92","2642.21"
AT1,C1600,"31.64","156.39","1069.47"
AT11,C1600,"2.11","7.63","185.08"
AT12,C1600,"29.5","148.62","878.73"
AT13,C1600,"0.03","0.14","5.66"
AT2,C1600,"7.43","41.39","572.96"
AT21,C1600,"3.3","17.33","210.22"
AT22,C1600,"4.13","24.06","362.74"
AT3,C1600,"16.51","99.15","999.78"
AT31,C1600,"16.12","97.02","507.71"
AT32,C1600,"0.22","1.17","173.67"
AT33,C1600,"0.16","0.88","241.6"
AT34,C1600,"0.01","0.07","76.8"
BE,C1600,"5.46","34.22","1355.86"
BE1,C1600,"0.03","0.19","3.05"
BE10,C1600,"0.03","0.19","3.05"
BE2,C1600,"1.96","13.04","620.2"
BE21,C1600,"0.41","2.5","96.52"
BE22,C1600,"0.38","1.96","86.29"
BE23,C1600,"0.57","3.84","147.72"
BE24,C1600,"0.16","1.08","88.31"
BE25,C1600,"0.45","3.65","201.36"
BE3,C1600,"3.47","20.99","732.62"
BE31,C1600,"0.22","1.17","64.7"
BE32,C1600,"0.45","3.25","209.64"
BE33,C1600,"0.44","2.53","158.78"
BE34,C1600,"1.33","7.5","143.33"
BE35,C1600,"1.03","6.54","156.17"
BG,C1600,"15.71","48.32","5038.23"
BG1,C1600,,,
BG3,C1600,"6.21",,"3662.04"
BG3,C1600,"6.21","21.44","3662.04"
BG31,C1600,"0.78",,"1055.2"
BG31,C1600,"0.78","3.29","1055.2"
BG32,C1600,"0.47",,"805.59"
BG32,C1600,"0.47","1.88","805.59"
BG33,C1600,"1.33",,"881.48"
BG33,C1600,"1.33","4.7","881.48"
BG34,C1600,"3.63",,"919.77"
BG34,C1600,"3.63","11.57","919.77"
BG4,C1600,"9.22",,"1376.19"
BG4,C1600,"9.22","25.09","1376.19"
BG41,C1600,"2.57",,"593.44"
BG41,C1600,"2.57","6.33","593.44"
BG42,C1600,"6.65",,"782.75"
BG42,C1600,"6.65","18.76","782.75"
CY,C1600,"0.64","1.2","126.15"
CZ,C1600,"39.35","190.3","3524.38"
CZ0,C1600,,,"3524.38"
CZ01,C1600,,,"10.9"
CZ02,C1600,,,"552.22"
CZ03,C1600,,,"739.16"
CZ04,C1600,,,"316.62"
CZ05,C1600,,,"569.83"
CZ06,C1600,,,"725.49"
CZ07,C1600,,,"397.31"
CZ08,C1600,,,"212.85"
DE,C1600,"354.9","2078.46","16636.98"
DE1,C1600,"21.2","144.92","1412.48"
DE11,C1600,,,
DE12,C1600,,,
DE13,C1600,,,
DE14,C1600,,,
DE2,C1600,"67.62","410.36","3107.04"
DE21,C1600,,,
DE22,C1600,,,
DE23,C1600,,,
DE24,C1600,,,
DE25,C1600,,,
DE26,C1600,,,
DE27,C1600,,,
DE3,C1600,"0.1",,"1.84"
DE30,C1600,,,
DE4,C1600,"34.18","140.96","1316"
DE40,C1600,,,
DE5,C1600,,,"8.02"
DE50,C1600,,,
DE6,C1600,,,"14.6"
DE60,C1600,,,
