NUTS2_CODE,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PCR_UAA_AV,NUTS_AREA,PCR_NUTS_AV
AT11,NUTS2,V4210,0.2044,7.3476,185.08,0.110438729,396.2,0.051590106
AT12,NUTS2,V4210,3.119,138.223,878.73,0.354944067,1918.6,0.162566455
AT13,NUTS2,V4210,0.007116667,0.325733333,5.662,0.125691746,41.5,0.017148594
AT21,NUTS2,V4210,0.02684,0.680108333,210.216,0.01276782,953.8,0.002814007
AT22,NUTS2,V4210,0.017433333,0.7135,362.742,0.004805987,1640.1,0.001062943
AT31,NUTS2,V4210,0.031333333,1.2195,507.71,0.006171502,1198,0.00261547
AT32,NUTS2,V4210,0.001716667,0.052025,173.67,0.000988465,715.6,0.000239892
AT33,NUTS2,V4210,0.070666667,2.640666667,241.6,0.029249448,1264,0.005590717
AT34,NUTS2,V4210,0.005066667,0.146266667,76.8,0.006597222,260.1,0.001947969
BE10,NUTS2,V4210,0.013175,,3.048,0.432250656,16.1,0.081832298
BE21,NUTS2,V4210,0.230538333,,96.518,0.238855274,286.7,0.080410999
BE22,NUTS2,V4210,0.279575,,86.294,0.323979651,242.2,0.115431462
BE23,NUTS2,V4210,0.923423333,,147.72,0.625117339,298.2,0.309665772
BE24,NUTS2,V4210,0.232581667,,88.31,0.263369569,210.6,0.110437638
BE25,NUTS2,V4210,1.400426667,,201.36,0.695484042,314.4,0.445428329
BE31,NUTS2,V4210,0.287706667,,64.704,0.444650511,109.1,0.263709135
BE32,NUTS2,V4210,0.574811667,,209.64,0.274189881,378.6,0.151825585
BE33,NUTS2,V4210,0.214543333,,158.78,0.135119872,386.2,0.055552391
BE34,NUTS2,V4210,0.00337,,143.332,0.002351185,444,0.000759009
BE35,NUTS2,V4210,0.161121667,,156.166,0.103173333,366.6,0.043950264
CY00,NUTS2,V4210,0.1369,4.47675,126.15,0.108521601,925.1,0.0147984
CZ01,NUTS2,V4210,0.000206667,0.004978333,10.898,0.001896372,49.6,0.000416667
CZ02,NUTS2,V4210,0.869898333,20.61823833,552.224,0.157526354,1101.6,0.078966806
CZ03,NUTS2,V4210,0.022386667,0.34459,739.158,0.003028671,1761.8,0.00127067
CZ04,NUTS2,V4210,0.09631,2.206575,316.616,0.030418551,864.9,0.011135391
CZ05,NUTS2,V4210,0.301998333,8.272516667,569.826,0.052998342,1244.1,0.024274442
CZ06,NUTS2,V4210,0.429703333,11.74487333,725.494,0.059229068,1399.1,0.030712839
CZ07,NUTS2,V4210,0.064446667,1.663325,397.306,0.016220915,923,0.006982304
