NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PCR_UAA_AV,NUTS_AREA,PCR_NUTS_AV
AT,Austria,AT,Austria,NUTS0,V0000,18.08,618.41,2642.21,0.684,8387.9,0.214
BE,Belgium,BE,Belgium,NUTS0,V0000,67.21,2209.97,1355.86,4.958,3052.8,2.204
BG,Bulgaria,BG,Bulgaria,NUTS0,V0000,26.71,524.72,5038.23,0.53,11037,0.242
CY,Cyprus,CY,Cyprus,NUTS0,V0000,2.71,80.29,126.15,2.154,925.1,0.294
CZ,Czechia,CZ,Czechia,NUTS0,V0000,10.8,238.94,3524.38,0.308,7886.8,0.136
DE,Germany (until 1990 former territory of the FRG),DE,Germany (until 1990 former territory of the FRG),NUTS0,V0000,124.6,3890.65,16636.98,0.748,35737.6,0.348
DK,Denmark,DK,Denmark,NUTS0,V0000,11.79,287.76,2625.64,0.45,4292.4,0.272
EE,Estonia,EE,Estonia,NUTS0,V0000,2.03,46.14,985.41,0.206,4522.7,0.048
EL,Greece,EL,Greece,NUTS0,V0000,76.2,2518.66,5199.68,1.468,13204.9,0.578
ES,Spain,ES,Spain,NUTS0,V0000,382.15,15153.42,24253.86,1.574,50594.4,0.754
FI,Finland,FI,Finland,NUTS0,V0000,12.18,280.86,2271.18,0.536,33844,0.04
FR,France,FR,France,NUTS0,V0000,263.18,5687.96,29010.89,0.8975,63318.66,0.414
HR,Croatia,HR,Croatia,NUTS0,V0000,8.95,179.63,1493.86,0.6,5659.4,0.158
HU,Hungary,HU,Hungary,NUTS0,V0000,87.72,1498.43,5210.49,1.682,9301.1,0.942
IE,Ireland,IE,Ireland,NUTS0,V0000,4.37,149.03,4475.59,0.098,6979.7,0.062
IT,Italy,IT,Italy,NUTS0,V0000,416.99,12966.66,13034.85,3.2,30207.3,1.38
LT,Lithuania,LT,Lithuania,NUTS0,V0000,11.36,205.59,2947.62,0.386,6528.6,0.174
LU,Luxembourg,LU,Luxembourg,NUTS0,V0000,0.16,3.23,131.85,0.122,258.6,0.064
LV,Latvia,LV,Latvia,NUTS0,V0000,3.04,69.19,1953.72,0.154,6457.3,0.048
MT,Malta,MT,Malta,NUTS0,V0000,0,0,11.23,0,31.54,0
NL,Netherlands,NL,Netherlands,NUTS0,V0000,96.53,5225.45,1811.01,5.33,4154,2.322
PL,Poland,PL,Poland,NUTS0,V0000,184.23,5305.92,14572.84,1.264,31267.9,0.588
PT,Portugal,PT,Portugal,NUTS0,V0000,55.03,2491.02,3875.79,1.416,9222.6,0.596
RO,Romania,RO,Romania,NUTS0,V0000,129.68,2419.27,13348.99,0.974,23839.07,0.542
SE,Sweden,SE,Sweden,NUTS0,V0000,13.18,358.77,3005,0.44,43857.4,0.03
SI,Slovenia,SI,Slovenia,NUTS0,V0000,6.06,113.45,480.54,1.262,2027.3,0.3
SK,Slovakia,SK,Slovakia,NUTS0,V0000,6.72,119.72,1902.42,0.354,4903.5,0.136
