NUTS2_CODE,NUTS2_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PCR_UAA_AV,NUTS_AREA,PCR_NUTS_AV
AT11,NUTS2,V2600,0.0268,0.05286,185.08,0.014480225,396.2,0.00676426
AT12,NUTS2,V2600,0.538,1.93635,878.73,0.061224722,1918.6,0.02804128
AT21,NUTS2,V2600,0.052313333,0.182315,210.216,0.024885515,953.8,0.005484728
AT22,NUTS2,V2600,0.033866667,0.138466667,362.742,0.009336296,1640.1,0.002064915
AT31,NUTS2,V2600,0.126666667,0.465833333,507.71,0.024948626,1198,0.010573178
AT32,NUTS2,V2600,0.0002,0.0005,173.67,0.000115161,715.6,2.79486E-05
AT33,NUTS2,V2600,0.005333333,0.021833333,241.6,0.002207506,1264,0.000421941
AT34,NUTS2,V2600,0.002633333,0.014066667,76.8,0.003428819,260.1,0.001012431
BE10,NUTS2,V2600,3.33333E-06,,3.048,0.000109361,16.1,2.07039E-05
BE21,NUTS2,V2600,0.100351667,,96.518,0.103971971,286.7,0.035002325
BE22,NUTS2,V2600,0.2971,,86.294,0.344288131,242.2,0.122667217
BE23,NUTS2,V2600,0.019368333,,147.72,0.013111517,298.2,0.006495082
BE24,NUTS2,V2600,0.029116667,,88.31,0.032970973,210.6,0.013825578
BE25,NUTS2,V2600,0.020433333,,201.36,0.010147663,314.4,0.006499152
BE31,NUTS2,V2600,0.037295,,64.704,0.057639404,109.1,0.034184235
BE32,NUTS2,V2600,0.00638,,209.64,0.003043312,378.6,0.001685156
BE33,NUTS2,V2600,0.02488,,158.78,0.01566948,386.2,0.006442258
BE34,NUTS2,V2600,0.002933333,,143.332,0.002046531,444,0.000660661
BE35,NUTS2,V2600,0.016756667,,156.166,0.010730035,366.6,0.004570831
EL30,NUTS2,V2600,0.0002,0.00155,81.57,0.000245188,381.4,5.24384E-05
EL41,NUTS2,V2600,0.003,0.005083333,188.556,0.001591039,385.4,0.000778412
EL42,NUTS2,V2600,0.0004,0.002366,139.13,0.000287501,530.5,7.54006E-05
EL43,NUTS2,V2600,0.0088,0.06377,702.23,0.001253151,834,0.001055156
EL51,NUTS2,V2600,1.141233333,7.811335,495.346,0.230391147,1417.9,0.080487576
EL52,NUTS2,V2600,0.4994,2.606236,762.608,0.065485807,1916.6,0.026056558
EL53,NUTS2,V2600,0.0059,0.059505333,303.634,0.001943129,947.1,0.000622954
EL54,NUTS2,V2600,0.025433333,0.145004667,315.176,0.008069565,916.4,0.002775353
EL61,NUTS2,V2600,0.0002,0.00202,655.526,3.05099E-05,1405.1,1.42339E-05
EL62,NUTS2,V2600,0,0,93.174,0,230.6,0
EL63,NUTS2,V2600,0.2225,1.27563,455.556,0.048841416,1132.7,0.01964333
EL64,NUTS2,V2600,0.001033333,0.009113333,519.714,0.000198827,1556.1,6.64053E-05
EL65,NUTS2,V2600,0.000966667,0.0118,487.454,0.000198309,1551.1,6.23214E-05
ES21,NUTS2,V2600,0.001,0.004,201.348,0.000496653,722.8,0.000138351
ES22,NUTS2,V2600,2.165,7.995,424.964,0.509454919,1039,0.208373436
ES23,NUTS2,V2600,0.101,0.412,236.484,0.04270902,504.5,0.020019822
ES24,NUTS2,V2600,0.075,0.267,2342.764,0.003201347,4772,0.001571668
ES30,NUTS2,V2600,0.106,0.773,341.626,0.031028083,802.8,0.013203787
ES41,NUTS2,V2600,0.153,0.817,5161.37,0.002964329,9422.7,0.001623738
ES42,NUTS2,V2600,1.064,4.893,3999.056,0.026606279,7946.2,0.013390048
ES43,NUTS2,V2600,0.882,4.464,2610.714,0.033783861,4161.1,0.021196318
ES51,NUTS2,V2600,0.014,0.03,1064.22,0.001315517,3209,0.000436273
ES52,NUTS2,V2600,0.022,0.146,694.464,0.003167911,2325.7,0.000945952
ES61,NUTS2,V2600,9.608,45.163,4812.198,0.199659283,8759.7,0.109684122
ES62,NUTS2,V2600,0.024,0.13,408.208,0.005879356,1131.4,0.002121266
FR10,NUTS2,V2600,0.1275,0.385325,585.9075,0.021761114,1201.23,0.010614121
FRB0,NUTS2,V2600,0.39875,1.526475,2389.865,0.016685043,3915.09,0.010184951
FRC1,NUTS2,V2600,0.025625,0.105925,1833.285,0.001397764,3158.2,0.00081138
FRC2,NUTS2,V2600,0.025625,0.105925,715.8175,0.003579823,1620.23,0.001581566
FRD1,NUTS2,V2600,0.0065,0.0201125,1271.58,0.000511175,1758.93,0.000369543
