NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PRC_UAA_AV,NUTS_AREA,PRC_NUTS_AV
AT,Austria,AT,Austria,NUTS0,R2000,33.2,2443.64,2642.21,"1,256",8387.9,0.394
AT,Austria,AT1,Ostösterreich,NUTS1,R2000,26.84,1880.75,1069.47,"2,508",2356.3,1.14
AT,Austria,AT11,Burgenland (AT),NUTS2,R2000,2.56,170.66,185.08,1.38,396.2,0.644
AT,Austria,AT12,Niederösterreich,NUTS2,R2000,24.13,1698.67,878.73,"2,746",1918.6,"1,256"
AT,Austria,AT13,Wien,NUTS2,R2000,0.16,11.43,5.66,"2,744",41.5,0.376
AT,Austria,AT2,Südösterreich,NUTS1,R2000,0.28,18.35,572.96,0.048,2593.9,0.01
AT,Austria,AT21,Kärnten,NUTS2,R2000,0.02,1.11,210.22,0.008,953.8,0
AT,Austria,AT22,Steiermark,NUTS2,R2000,0.27,17.25,362.74,0.072,1640.1,0.016
AT,Austria,AT3,Westösterreich,NUTS1,R2000,6.08,544.53,999.78,0.612,3437.7,0.176
AT,Austria,AT31,Oberösterreich,NUTS2,R2000,6.08,544.47,507.71,"1,198",1198,0.508
AT,Austria,AT32,Salzburg,NUTS2,R2000,0,0,173.67,0,715.6,0
AT,Austria,AT33,Tirol,NUTS2,R2000,0,0,241.6,0,1264,0
AT,Austria,AT34,Vorarlberg,NUTS2,R2000,0,0,76.8,0,260.1,0
BE,Belgium,BE,Belgium,NUTS0,R2000,58.94,5107.92,1355.86,"4,348",3052.8,"1,932"
BE,Belgium,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,NUTS1,R2000,0.2,17.02,3.05,"6,498",16.1,"1,228"
BE,Belgium,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,NUTS2,R2000,0.2,17.02,3.05,"6,498",16.1,"1,228"
BE,Belgium,BE2,Vlaams Gewest,NUTS1,R2000,19.19,1617.19,620.2,"3,096",1352.2,1.42
BE,Belgium,BE21,Prov. Antwerpen,NUTS2,R2000,0.46,33.27,96.52,0.48,286.7,0.162
BE,Belgium,BE22,Prov. Limburg (BE),NUTS2,R2000,4.18,367.24,86.29,"4,852",242.2,"1,728"
BE,Belgium,BE23,Prov. Oost-Vlaanderen,NUTS2,R2000,2.97,241.97,147.72,"2,008",298.2,0.994
BE,Belgium,BE24,Prov. Vlaams-Brabant,NUTS2,R2000,4.73,418.37,88.31,"5,362",210.6,"2,248"
BE,Belgium,BE25,Prov. West-Vlaanderen,NUTS2,R2000,6.84,556.34,201.36,"3,396",314.4,"2,176"
BE,Belgium,BE3,Région wallonne,NUTS1,R2000,39.56,3473.72,732.62,"5,402",1684.4,2.35
BE,Belgium,BE31,Prov. Brabant wallon,NUTS2,R2000,7.31,651.77,64.7,"11,316",109.1,"6,702"
BE,Belgium,BE32,Prov. Hainaut,NUTS2,R2000,16.82,1486.86,209.64,"8,024",378.6,"4,444"
BE,Belgium,BE33,Prov. Liège,NUTS2,R2000,7.4,677.74,158.78,4.66,386.2,"1,916"
BE,Belgium,BE34,Prov. Luxembourg (BE),NUTS2,R2000,0.06,4.94,143.33,0.036,444,0.01
BE,Belgium,BE35,Prov. Namur,NUTS2,R2000,7.97,652.41,156.17,"5,108",366.6,"2,172"
BG,Bulgaria,BG,Bulgaria,NUTS0,R2000,0,0,5038.23,0,11037,0
BG,Bulgaria,BG1,Severna Bulgaria (statistical region 2005),NUTS1,R2000,0,,,,,
BG,Bulgaria,BG1,Severna Bulgaria (statistical region 2005),NUTS1,R2000,0,0,,,,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,NUTS1,R2000,,,3662.04,,6802.3,
BG,Bulgaria,BG31,Severozapaden,NUTS2,R2000,,,1055.2,,1904.7,
BG,Bulgaria,BG32,Severen tsentralen,NUTS2,R2000,,,805.59,,1466.7,
BG,Bulgaria,BG33,Severoiztochen,NUTS2,R2000,,,881.48,,1464.5,
BG,Bulgaria,BG34,Yugoiztochen,NUTS2,R2000,,,919.77,,1966.4,
BG,Bulgaria,BG4,Yugozapadna i yuzhna tsentralna Bulgaria,NUTS1,R2000,,,1376.19,,4234.7,
BG,Bulgaria,BG41,Yugozapaden,NUTS2,R2000,,,593.44,,2004,
BG,Bulgaria,BG42,Yuzhen tsentralen,NUTS2,R2000,,,782.75,,2230.7,
CY,Cyprus,CY,Cyprus,NUTS0,R2000,0,0,126.15,0,925.1,0
CZ,Czechia,CZ,Czechia,NUTS0,R2000,62.2,3920.31,3524.38,"1,764",7886.8,0.79
CZ,Czechia,CZ0,Cesko,NUTS1,R2000,62.2,3920.31,3524.38,"1,764",7886.8,0.79
CZ,Czechia,CZ01,Praha,NUTS2,R2000,0.27,16.96,10.9,"2,446",49.6,0.532
CZ,Czechia,CZ02,Strední Cechy,NUTS2,R2000,17.1,1081.69,552.22,"3,098",1101.6,"1,552"
CZ,Czechia,CZ03,Jihozápad,NUTS2,R2000,0,0.15,739.16,0,1761.8,0
