NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PRC_UAA_AV,NUTS_AREA,PRC_NUTS_AV
AT,Austria,AT,Austria,NUTS0,V1300,0.74,39.07,2642.21,0.03,8387.9,0.01
BE,Belgium,BE,Belgium,NUTS0,V1300,1.03,54.9,1355.86,0.076,3052.8,0.032
BG,Bulgaria,BG,Bulgaria,NUTS0,V1300,1.65,39.9,5038.23,0.034,11037,0.016
CY,Cyprus,CY,Cyprus,NUTS0,V1300,0.11,3.93,126.15,0.086,925.1,0.01
CZ,Czechia,CZ,Czechia,NUTS0,V1300,1.1,41.77,3524.38,0.03,7886.8,0.012
DE,Germany (until 1990 former territory of the FRG),DE,Germany (until 1990 former territory of the FRG),NUTS0,V1300,8.98,593.64,16636.98,0.052,35737.6,0.026
DK,Denmark,DK,Denmark,NUTS0,V1300,0.62,32.92,2625.64,0.022,4292.4,0.012
EE,Estonia,EE,Estonia,NUTS0,V1300,0.27,9.96,985.41,0.03,4522.7,0.01
EE,Estonia,EE,Estonia,NUTS0,V1300,0.27,,985.41,0.03,4522.7,0.01
EL,Greece,EL,Greece,NUTS0,V1300,2.91,74.03,5199.68,0.054,13204.9,0.022
ES,Spain,ES,Spain,NUTS0,V1300,4.58,159.96,24253.86,0.02,50594.4,0.01
FI,Finland,FI,Finland,NUTS0,V1300,0.6,22.05,2271.18,0.03,33844,0
FR,France,FR,France,NUTS0,V1300,0.83,61.69,29010.89,0,63318.66,0
HR,Croatia,HR,Croatia,NUTS0,V1300,1.51,32.7,1493.86,0.1,5659.4,0.026
HU,Hungary,HU,Hungary,NUTS0,V1300,2.33,50.67,5210.49,0.044,9301.1,0.024
IE,Ireland,IE,Ireland,NUTS0,V1300,0.7,23.23,4475.59,0.02,6979.7,0.01
IT,Italy,IT,Italy,NUTS0,V1300,7.27,181.11,13034.85,0.056,30207.3,0.026
LT,Lithuania,LT,Lithuania,NUTS0,V1300,1.8,48.86,2947.62,0.06,6528.6,0.03
LU,Luxembourg,LU,Luxembourg,NUTS0,V1300,0.01,0.61,131.85,0.012,258.6,0.002
LV,Latvia,LV,Latvia,NUTS0,V1300,0.61,20.26,1953.72,0.032,6457.3,0.01
MT,Malta,MT,Malta,NUTS0,V1300,0,0,11.23,0,31.54,0
NL,Netherlands,NL,Netherlands,NUTS0,V1300,2.69,169.22,1811.01,0.15,4154,0.064
PL,Poland,PL,Poland,NUTS0,V1300,18.72,833.08,14572.84,0.128,31267.9,0.06
PT,Portugal,PT,Portugal,NUTS0,V1300,3.33,95.91,3875.79,0.084,9222.6,0.036
RO,Romania,RO,Romania,NUTS0,V1300,24.7,608.57,13348.99,0.186,23839.07,0.104
SE,Sweden,SE,Sweden,NUTS0,V1300,0.47,19.43,3005,0.014,43857.4,0
SI,Slovenia,SI,Slovenia,NUTS0,V1300,0.63,21.25,480.54,0.13,2027.3,0.03
SK,Slovakia,SK,Slovakia,NUTS0,V1300,0.4,13.28,1902.42,0.02,4903.5,0.01
