NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PRC_UAA_AV,NUTS_AREA,PRC_NUTS_AV
AT,Austria,AT,Austria,NUTS0,V3600,0.17,15.39,2642.21,0.01,8387.9,0
BE,Belgium,BE,Belgium,NUTS0,V3600,0.1,26.56,1355.86,0.01,3052.8,0
BG,Bulgaria,BG,Bulgaria,NUTS0,V3600,3.05,56.67,5038.23,0.06,11037,0.028
CY,Cyprus,CY,Cyprus,NUTS0,V3600,0.04,1,126.15,0.026,925.1,0
CZ,Czechia,CZ,Czechia,NUTS0,V3600,0.26,0,3524.38,0.008,7886.8,0.002
CZ,Czechia,CZ,Czechia,NUTS0,V3600,0.26,9.05,3524.38,0.008,7886.8,0.002
DE,Germany (until 1990 former territory of the FRG),DE,Germany (until 1990 former territory of the FRG),NUTS0,V3600,0.11,14.93,16636.98,0,35737.6,0
DK,Denmark,DK,Denmark,NUTS0,V3600,0,0,2625.64,0,4292.4,0
EE,Estonia,EE,Estonia,NUTS0,V3600,0,0,985.41,0,4522.7,0
EL,Greece,EL,Greece,NUTS0,V3600,3.6,152.11,5199.68,0.07,13204.9,0.03
ES,Spain,ES,Spain,NUTS0,V3600,21.3,1388.03,24253.86,0.09,50594.4,0.04
FI,Finland,FI,Finland,NUTS0,V3600,0.01,1.09,2271.18,0,33844,0
FR,France,FR,France,NUTS0,V3600,1.07,30.74,29010.89,0,63318.66,0
HR,Croatia,HR,Croatia,NUTS0,V3600,0.82,13.16,1493.86,0.056,5659.4,0.014
HU,Hungary,HU,Hungary,NUTS0,V3600,1.91,103.16,5210.49,0.036,9301.1,0.022
IE,Ireland,IE,Ireland,NUTS0,V3600,0,0,4475.59,0,6979.7,0
IT,Italy,IT,Italy,NUTS0,V3600,10.16,250.43,13034.85,0.078,30207.3,0.03
LT,Lithuania,LT,Lithuania,NUTS0,V3600,0,0,2947.62,0,6528.6,0
LU,Luxembourg,LU,Luxembourg,NUTS0,V3600,0,0,131.85,0,258.6,0
LV,Latvia,LV,Latvia,NUTS0,V3600,0,0,1953.72,0,6457.3,0
MT,Malta,MT,Malta,NUTS0,V3600,0,0,11.23,0,31.54,0
NL,Netherlands,NL,Netherlands,NUTS0,V3600,1.46,402,1811.01,0.078,4154,0.036
PL,Poland,PL,Poland,NUTS0,V3600,3.65,205.95,14572.84,0.028,31267.9,0.01
PT,Portugal,PT,Portugal,NUTS0,V3600,1.1,48.41,3875.79,0.026,9222.6,0.01
RO,Romania,RO,Romania,NUTS0,V3600,10.02,141.18,13348.99,0.074,23839.07,0.042
SE,Sweden,SE,Sweden,NUTS0,V3600,0,0,3005,0,43857.4,0
SI,Slovenia,SI,Slovenia,NUTS0,V3600,0.19,4.25,480.54,0.038,2027.3,0.01
SK,Slovakia,SK,Slovakia,NUTS0,V3600,0.23,4.71,1902.42,0.012,4903.5,0.004
