NUTS0_CODE;NUTS0_NAME;NUTS2_CODE;NUTS2_NAME;NUTS_LEVEL;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;PRC_UAA_AV;NUTS_AREA;PRC_NUTS_AV
AT;Austria;AT;Austria;NUTS0;V3000;2.42;162.69;2642.21;0.092;8387.9;0.03
BE;Belgium;BE;Belgium;NUTS0;V3000;2.1;392.85;1355.86;0.152;3052.8;0.07
BG;Bulgaria;BG;Bulgaria;NUTS0;V3000;18.86;416.32;5038.23;0.374;11037;0.17
CY;Cyprus;CY;Cyprus;NUTS0;V3000;1.2;51.42;126.15;0.956;925.1;0.13
CZ;Czechia;CZ;Czechia;NUTS0;V3000;0.85;33.97;3524.38;0.024;7886.8;0.01
DE;Germany (until 1990 former territory of the FRG);DE;Germany (until 1990 former territory of the FRG);NUTS0;V3000;10.51;519.35;16636.98;0.062;35737.6;0.03
DK;Denmark;DK;Denmark;NUTS0;V3000;0.15;29.16;2625.64;0.01;4292.4;0
EE;Estonia;EE;Estonia;NUTS0;V3000;0.1;7.13;985.41;0.01;4522.7;0
EL;Greece;EL;Greece;NUTS0;V3000;38.71;1887.55;5199.68;0.744;13204.9;0.294
ES;Spain;ES;Spain;NUTS0;V3000;152.43;9876.88;24253.86;0.628;50594.4;0.3
FI;Finland;FI;Finland;NUTS0;V3000;0.44;99.32;2271.18;0.02;33844;0
FR;France;FR;France;NUTS0;V3000;35.96;1522.9;29010.89;0.12;63318.66;0.056
HR;Croatia;HR;Croatia;NUTS0;V3000;3.55;88.5;1493.86;0.238;5659.4;0.064
HU;Hungary;HU;Hungary;NUTS0;V3000;12.3;528.12;5210.49;0.236;9301.1;0.13
IE;Ireland;IE;Ireland;NUTS0;V3000;0.08;6.24;4475.59;0;6979.7;0
IT;Italy;IT;Italy;NUTS0;V3000;177.81;8500.45;13034.85;1.364;30207.3;0.59
LT;Lithuania;LT;Lithuania;NUTS0;V3000;2.32;35.77;2947.62;0.08;6528.6;0.034
LU;Luxembourg;LU;Luxembourg;NUTS0;V3000;0.02;0.3;131.85;0.018;258.6;0.008
LV;Latvia;LV;Latvia;NUTS0;V3000;0.36;14.89;1953.72;0.022;6457.3;0.004
MT;Malta;MT;Malta;NUTS0;V3000;0;0;11.23;0;31.54;0
NL;Netherlands;NL;Netherlands;NUTS0;V3000;6.57;1830.09;1811.01;0.364;4154;0.16
PL;Poland;PL;Poland;NUTS0;V3000;32.61;1765.28;14572.84;0.224;31267.9;0.104
PT;Portugal;PT;Portugal;NUTS0;V3000;26.25;1832.03;3875.79;0.678;9222.6;0.288
RO;Romania;RO;Romania;NUTS0;V3000;62.32;1332.91;13348.99;0.466;23839.07;0.262
SE;Sweden;SE;Sweden;NUTS0;V3000;0.65;63.28;3005;0.02;43857.4;0
SI;Slovenia;SI;Slovenia;NUTS0;V3000;0.8;22.27;480.54;0.166;2027.3;0.038
SK;Slovakia;SK;Slovakia;NUTS0;V3000;2.58;49;1902.42;0.136;4903.5;0.054
