NUTS_2_CODE,CROP_NAME,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA,PCR_UAA_AV,PCR_NUTS_AREA
CY00,CHICKPEAS,V5900,0.0485,0.0625,126.15,925.1,0.038446294,0.005242676
EL30,CHICK PEAS,V5900,0.0617,0.102221,81.57,381.4,0.075640554,0.016177242
EL41,CHICK PEAS,V5900,0.0989,0.137638333,188.556,385.4,0.052451261,0.02566165
EL42,CHICK PEAS,V5900,0.024233333,0.032926667,139.13,530.5,0.017417763,0.004568018
EL43,CHICK PEAS,V5900,0.0288,0.054122667,702.23,834,0.00410122,0.003453237
EL51,CHICK PEAS,V5900,0.8744,1.384717667,495.346,1417.9,0.176523077,0.061668665
EL52,CHICK PEAS,V5900,2.027466667,3.190198667,762.608,1916.6,0.265859612,0.105784549
EL53,CHICK PEAS,V5900,3.181233333,4.356679333,303.634,947.1,1.047719733,0.335892021
EL54,CHICK PEAS,V5900,0.011166667,0.02012,315.176,916.4,0.003542994,0.001218536
EL61,CHICK PEAS,V5900,4.667333333,7.498419,655.526,1405.1,0.711998202,0.332170901
EL62,CHICK PEAS,V5900,0.0109,0.014695,93.174,230.6,0.011698543,0.0047268
EL63,CHICK PEAS,V5900,0.0315,0.060034333,455.556,1132.7,0.006914627,0.002780966
EL64,CHICK PEAS,V5900,1.4838,2.313956333,519.714,1556.1,0.285503181,0.095353769
EL65,CHICK PEAS,V5900,0.039866667,0.078850667,487.454,1551.1,0.008178549,0.002570219
HU11,CHICKPEAS,V5900,0.006,0.009,34.332,5.25,0.017476407,0.114285714
HU12,CHICKPEAS,V5900,0.0045,0.008,311.614,63.93,0.001444094,0.007038949
HU21,CHICKPEAS,V5900,0.00575,0.00925,578.412,1108.5,0.000994101,0.000518719
HU22,CHICKPEAS,V5900,0.0215,0.031,565.332,1132.8,0.003803075,0.001897952
HU23,CHICKPEAS,V5900,0.0084,0.008,745.852,1419.7,0.001126229,0.000591674
HU31,CHICKPEAS,V5900,0.0396,0.051,587.718,1342.8,0.006737925,0.002949062
HU32,CHICKPEAS,V5900,0.0236,0.0454,1174.514,1772.3,0.002009342,0.001331603
HU33,CHICKPEAS,V5900,0.0992,0.1846,1212.722,1833.5,0.008179946,0.005410417
ITC1,CHICKPEAS,V5900,0.1642,N/A,890.22,2538.7,0.018444879,0.006467877
ITC4,CHICKPEAS,V5900,0.883,N/A,1056.448,2386.4,0.083581965,0.037001341
ITF1,CHICKPEAS,V5900,0.9302,N/A,486.624,1083.3,0.191153745,0.085867257
ITF2,CHICKPEAS,V5900,2.1,N/A,193.942,446.1,1.08279795,0.470746469
ITF3,CHICKPEAS,V5900,0.2874,N/A,568.682,1367,0.05053791,0.02102414
ITF4,CHICKPEAS,V5900,1.853,N/A,1551.75,1954.1,0.119413565,0.094826263
ITF5,CHICKPEAS,V5900,1.008,N/A,450.412,1007.3,0.223795103,0.100069493
ITF6,CHICKPEAS,V5900,0.2362,N/A,523.596,1522.2,0.045111116,0.015517015
ITG1,CHICKPEAS,V5900,1.482,N/A,1483.86,2583.3,0.099874651,0.057368482
ITG2,CHICKPEAS,V5900,0.336,N/A,1118.888,2410,0.030029815,0.013941909
ITH3,CHICKPEAS,V5900,0.067,N/A,794.912,1840.7,0.008428606,0.00363992
ITH4,CHICKPEAS,V5900,0.0045,N/A,228.508,786.2,0.001969296,0.000572373
ITH5,CHICKPEAS,V5900,2.0726,N/A,1044.96,2245.3,0.19834252,0.092308377
ITI1,CHICKPEAS,V5900,3.3058,N/A,673.39,2298.8,0.490919081,0.143805464
ITI2,CHICKPEAS,V5900,1.704,N/A,329.268,846.4,0.517511571,0.201323251
ITI3,CHICKPEAS,V5900,3.577,N/A,407.384,940.1,0.878041357,0.380491437
ITI4,CHICKPEAS,V5900,0.6406,N/A,743.904,1723.2,0.086113262,0.037175023
PT11,CHICKPEAS,V5900,0.1086,0.082,659.89,2128.6,0.016457288,0.005101945
PT15,CHICKPEAS,V5900,0.0122,0.0078,102.124,499.7,0.011946261,0.002441465
PT16,CHICKPEAS,V5900,0.2218,0.1308,633.268,2819.9,0.035024666,0.007865527
PT17,CHICKPEAS,V5900,0.0122,0.012,78.25,301.5,0.015591054,0.004046434
PT18,CHICKPEAS,V5900,2.2614,2.1594,2280.198,3160.5,0.099175598,0.07155197
PT20,CHICKPEAS,V5900,0,0,117.152,232.2,0,0
PT30,CHICKPEAS,V5900,0,0,4.914,80.2,0,0
