NUTS_2_CODE,CROP_NAME,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA,PCR_UAA_AV,PCR_NUTS_AREA
CY00,WATERMELON,,14.18625,126.15,925.1,,
EL30,WATERMELON,0.071566667,2.984944667,81.57,381.4,0.087736504,0.018764202
EL41,WATERMELON,0.164766667,4.623478667,188.556,385.4,0.087383412,0.042752119
EL42,WATERMELON,0.578133333,15.704475,139.13,530.5,0.415534632,0.108978951
EL43,WATERMELON,0.6724,12.532809,702.23,834,0.095752104,0.080623501
EL51,WATERMELON,0.531933333,14.065943,495.346,1417.9,0.107386218,0.037515575
EL52,WATERMELON,0.943566667,39.68253467,762.608,1916.6,0.123728923,0.049231278
EL53,WATERMELON,0.056366667,1.621543333,303.634,947.1,0.018564017,0.005951501
EL54,WATERMELON,0.0699,2.827216333,315.176,916.4,0.022178085,0.007627674
EL61,WATERMELON,0.663166667,37.417092,655.526,1405.1,0.101165578,0.047197115
EL62,WATERMELON,0.0317,0.764396667,93.174,230.6,0.034022367,0.013746748
EL63,WATERMELON,3.546433333,174.7497183,455.556,1132.7,0.778484606,0.313095553
EL64,WATERMELON,0.442966667,19.70458233,519.714,1556.1,0.085232775,0.028466465
EL65,WATERMELON,0.8414,39.63057267,487.454,1551.1,0.172611159,0.054245374
ES23,WATERMELON,0.003,0.054,236.484,504.5,0.001268585,0.000594648
ES24,WATERMELON,0.006,0.25,2342.764,4772,0.000256108,0.000125733
ES30,WATERMELON,0.037,1.339,341.626,802.8,0.010830557,0.004608869
ES41,WATERMELON,0.038,1.246,5161.37,9422.7,0.000736239,0.000403281
ES42,WATERMELON,2.768,192.095,3999.056,7946.2,0.069216335,0.03483426
ES43,WATERMELON,0.303,15.204,2610.714,4161.1,0.01160602,0.007281728
ES51,WATERMELON,0.267,7.597,1064.22,3209,0.025088797,0.008320349
ES52,WATERMELON,1.618,75.112,694.464,2325.7,0.232985439,0.069570452
ES53,WATERMELON,0.202,5.764,217.074,499.2,0.093055824,0.040464744
ES61,WATERMELON,12.989,718.811,4812.198,8759.7,0.269918237,0.148281334
ES62,WATERMELON,3.059,206.263,408.208,1131.4,0.749372869,0.270372989
ES70,WATERMELON,0.327,11.115,111.274,744.5,0.293869188,0.043922095
FR10,WATERMELON,0.00525,0.127925,585.9075,1201.23,0.000896046,0.000437052
FRB0,WATERMELON,0,0,2389.865,3915.09,0,0
FRC1,WATERMELON,0,0,1833.285,3158.2,0,0
FRC2,WATERMELON,0,0,715.8175,1620.23,0,0
FRD1,WATERMELON,0,0,1271.58,1758.93,0,0
FRD2,WATERMELON,0,0,805.5025,1231.74,0,0
FRE1,WATERMELON,0,0,829.13,1241.41,0,0
FRE2,WATERMELON,0,0,1352.9025,1939.95,0,0
FRF1,WATERMELON,0.001333333,0.061633333,343.25,828.02,0.000388444,0.000161027
FRF2,WATERMELON,0.001333333,0.061633333,1546.6725,2560.58,8.62066E-05,5.20715E-05
FRF3,WATERMELON,0.001333333,0.061633333,1168.3525,2354.74,0.000114121,5.66234E-05
FRG0,WATERMELON,0,0,2280.5775,3208.18,0,0
FRH0,WATERMELON,0.001,0.059,1779.7475,2720.79,5.61877E-05,3.6754E-05
FRI1,WATERMELON,0.002583333,0.084791667,1592.24,4130.84,0.000162245,6.25377E-05
FRI2,WATERMELON,0.002583333,0.084791667,887.255,1694.23,0.00029116,0.000152478
FRI3,WATERMELON,0.002583333,0.084791667,1766.435,2580.95,0.000146246,0.000100092
FRJ1,WATERMELON,0.021875,0.9248,1012.5075,2737.58,0.002160478,0.000799063
FRJ2,WATERMELON,0.021875,0.9248,2497.3175,4534.79,0.00087594,0.000482382
FRK1,WATERMELON,0.001,0.034616667,1491.04,2601.29,6.70673E-05,3.84425E-05
FRK2,WATERMELON,0.001,0.034616667,1583.7075,4369.82,6.3143E-05,2.28842E-05
FRL0,WATERMELON,0.07575,3.904225,794.25,3139.96,0.009537299,0.002412451
FRM0,WATERMELON,0.03125,1.40625,302.1475,867.98,0.010342631,0.003600313
FRY1,WATERMELON,0.1615,3.320975,49.2075,132.86,0.328202002,0.121556526
FRY2,WATERMELON,0.28525,1.351075,31.24,112.8,0.91309219,0.252881206
FRY3,WATERMELON,0.2975,4.24,32.2275,8353.39,0.923124661,0.003561428
FRY4,WATERMELON,0.038,0.7904,48.285,250.37,0.078699389,0.015177537
FRY5,WATERMELON,0.001,0.01,20.0075,37.4,0.004998126,0.002673797
HU11,WATERMELON,0.062666667,1.221333333,34.332,,0.18253136,
HU12,WATERMELON,0.05,1.703,311.614,,0.016045492,
HU21,WATERMELON,0.1758,5.7328,578.412,1108.5,0.03039356,0.015859269
HU22,WATERMELON,0.0142,0.5968,565.332,1132.8,0.002511798,0.001253531
HU23,WATERMELON,0.321,11.8638,745.852,1419.7,0.043038029,0.022610411
HU31,WATERMELON,0.282,9.2758,587.718,1342.8,0.047982196,0.021000894
HU32,WATERMELON,1.7404,52.6052,1174.514,1772.3,0.148180439,0.098200079
HU33,WATERMELON,1.8672,78.8102,1212.722,1833.5,0.153967686,0.101838015
ITC1,WATERMELON,0.0616,N/A,890.22,2538.7,0.006919638,0.002426439
ITC4,WATERMELON,1.3328,N/A,1056.448,2386.4,0.126158599,0.055849816
ITF1,WATERMELON,0.108,N/A,486.624,1083.3,0.022193727,0.009969538
ITF2,WATERMELON,0.05,N/A,193.942,446.1,0.025780904,0.011208249
ITF3,WATERMELON,1.1788,N/A,568.682,1367,0.207286322,0.086232626
ITF4,WATERMELON,2.0572,N/A,1551.75,1954.1,0.132572902,0.105276086
ITF5,WATERMELON,0.213,N/A,450.412,1007.3,0.047290037,0.021145637
ITF6,WATERMELON,0.0952,N/A,523.596,1522.2,0.018181957,0.006254106
ITG1,WATERMELON,1.4772,N/A,1483.86,2583.3,0.099551171,0.057182673
ITG2,WATERMELON,0.6308,N/A,1118.888,2410,0.056377403,0.026174274
ITH3,WATERMELON,0.2814,N/A,794.912,1840.7,0.035400145,0.015287662
ITH4,WATERMELON,0.001,N/A,228.508,786.2,0.000437621,0.000127194
ITH5,WATERMELON,1.0348,N/A,1044.96,2245.3,0.099027714,0.046087383
ITI1,WATERMELON,0.1762,N/A,673.39,2298.8,0.026166115,0.007664869
ITI2,WATERMELON,0.092,N/A,329.268,846.4,0.027940766,0.010869565
ITI3,WATERMELON,0.0326,N/A,407.384,940.1,0.008002278,0.003467716
ITI4,WATERMELON,2.03,N/A,743.904,1723.2,0.272884673,0.117804085
CZ05,WATERMELON,,,,,,
CZ06,WATERMELON,,,,,,
CZ07,WATERMELON,,,,,,
CZ08,WATERMELON,,,,,,
DE11,WATERMELON,,,,,,
DE12,WATERMELON,,,,,,
DE13,WATERMELON,,,,,,
DE14,WATERMELON,,,,,,
DE21,WATERMELON,,,,,,
DE22,WATERMELON,,,,,,
