Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;Agricultural land (% of land area);AG.LND.AGRI.ZS;;19.09150453;18.85176384;18.688018;18.54274606;18.54400564;18.54400564;18.57927398;18.55912064;18.55912064;18.56457884;19.07554981;19.06001495;18.60152661;18.61496217;18.37018314;18.48270592;18.40335217;18.40797064;18.39831384;18.40251245;16.44637954;16.41950843;16.49298412;16.63069856;16.3959962;16.24358662;16.28179398;16.2977487;16.27381662;16.23854829;16.21587579;16.31790204;16.31664245;16.6432944;16.64707315;16.64161495;16.66428745;16.72138856;16.68150176;16.80326148;16.84020926;16.73356454;16.7548515;17.27518537;17.3028962;17.29030037;17.32011051;17.34404259;17.37385273;17.37133356;17.37721162;17.38149;17.39553226;17.39526565;17.40592281;17.36553219;17.35501081;17.35656799;17.34698162;17.33522551;17.33060704;17.35134817;17.35903163;
Angola;AGO;Agricultural land (% of land area);AG.LND.AGRI.ZS;;36.23726638;36.24368332;36.24127697;36.24769391;36.24528756;36.2517045;36.25731932;36.26373626;36.27737226;36.25972568;36.24127697;36.22363038;36.20518168;36.18753509;36.16988851;35.99101628;35.9733697;35.95492099;35.92925323;35.90679394;35.87711559;35.85866688;35.83700971;35.81455041;35.79690383;35.73032807;35.71268148;35.69503489;35.67658619;35.6589396;35.68059678;35.70305607;35.70225395;35.70225395;35.6862116;35.65172054;35.6541269;35.7046603;35.74797465;35.71268148;35.62605278;35.64450148;35.69343066;35.54183043;35.4399615;35.40306409;35.48969279;35.44958691;35.79850806;35.97497393;36.34876073;36.3383332;36.48672495;36.63591883;36.72816235;36.75623646;36.70891153;36.71933906;36.78190423;36.78832117;36.8308334;36.94714045;36.94794257;
Benin;BEN;Agricultural land (% of land area);AG.LND.AGRI.ZS;;12.54487407;12.72747428;12.9097641;13.06992728;13.26503193;13.53103938;13.91947499;14.1926215;14.94346399;15.13544697;15.56957254;15.84529088;16.01379035;16.25323696;16.60881518;16.8438276;17.13866619;17.32626818;17.5;17.77492018;18.04540617;18.40457609;18.39122916;18.55972863;18.8529177;19.38612983;19.47481376;19.565094;19.55977297;20.05406172;20.1162735;20.31009223;20.62644555;21.1693597;22.30057645;23.98753991;25.62849415;26.96718695;27.54519333;28.30681093;28.90678432;29.86288578;30.78216566;30.67794431;30.80482441;29.61445548;29.96722242;31.78336289;33.17067222;30.9253636;32.0979514;33.39123803;35.30102873;35.4549663;36.12294253;34.3804984;36.30170184;39.56020397;41.07138524;39.31401738;41.00234569;43.0623652;41.8300133;
Bermuda;BMU;Agricultural land (% of land area);AG.LND.AGRI.ZS;;7.407407407;5.555555556;5.555555556;7.407407407;7.407407407;7.407407407;7.407407407;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;7.407407407;7.407407407;7.407407407;7.407407407;7.407407407;7.407407407;7.407407407;7.407407407;7.407407407;7.407407407;7.407407407;7.407407407;7.407407407;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;5.555555556;
Botswana;BWA;Agricultural land (% of land area);AG.LND.AGRI.ZS;;45.87722549;45.87722549;45.87722549;45.87722549;45.87899;45.87899;45.87899;45.87899;45.87899;45.87899;45.87899;45.8807545;45.8807545;45.8807545;45.8807545;45.8807545;45.8807545;45.8807545;45.88428352;45.88428352;45.88428352;45.88781254;45.88781254;45.88781254;45.89134156;45.89134156;45.89487057;45.89487057;45.90369312;45.91428017;45.70253913;45.61431369;45.79076456;45.87016745;45.78194202;45.78194202;45.70253913;45.57902352;45.59666861;45.79076456;45.52608826;45.60549115;45.51726572;45.57196549;45.55079138;45.52961728;45.49609161;45.66724895;45.73253578;45.63195878;45.74665184;45.67783601;45.66901346;45.88428352;45.63301749;45.63301749;45.63301749;45.63301749;45.63372329;45.63372329;45.63372329;45.63372329;45.63372329;
Burkina Faso;BFA;Agricultural land (% of land area);AG.LND.AGRI.ZS;;32.9495614;32.9495614;32.9495614;32.96783626;32.96783626;32.96783626;32.96783626;32.96783626;32.96783626;32.96783626;32.96783626;32.96783626;32.96783626;32.96783626;33.00438596;33.02266082;33.02266082;33.02266082;33.02266082;33.04093567;33.05921053;33.05921053;33.07748538;33.55566703;34.01557383;34.49375512;34.97193677;35.45011842;35.91002522;36.36993165;36.82983845;37.28974525;37.74965205;38.20955885;38.66946528;39.12937208;39.58927887;40.04918567;40.50909247;40.97630885;41.45083553;41.91805227;42.38526901;42.90730994;43.42569627;43.92946272;44.40764437;44.9132383;45.43710673;46.02128253;46.75896711;47.32852303;48.11737683;48.68693275;49.29303838;49.82604459;50.3590508;51.19615058;51.67689035;52.15945797;52.67089985;53.3497394;53.40200548;
Burundi;BDI;Agricultural land (% of land area);AG.LND.AGRI.ZS;;61.3317757;61.91588785;62.46105919;62.5;63.23987539;63.12305296;64.87538941;65.26479751;73.87071651;73.20872274;73.94859813;74.2211838;77.88161994;79.04984424;80.21806854;81.58099688;83.45015576;82.55451713;81.77570093;81.30841121;80.80218069;80.21806854;80.21806854;80.21806854;80.21806854;81.07476636;81.2694704;81.46417445;81.2694704;81.07476636;80.88006231;81.07476636;80.88006231;80.72429907;79.32242991;77.60903427;76.01246106;74.49376947;73.48130841;72.70249221;72.07943925;71.41744548;71.37850467;71.96261682;70.83333333;70.95015576;71.06697819;71.18380062;71.30062305;71.37850467;71.69003115;72.42990654;73.48130841;74.53271028;75.58411215;76.63551402;77.68691589;78.73831776;79.78971963;80.8411215;81.89252336;82.8079634;83.88655763;
Cabo Verde;CPV;Agricultural land (% of land area);AG.LND.AGRI.ZS;;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.12903226;16.62531017;16.62531017;16.87344913;16.87344913;17.12158809;17.12158809;17.12158809;17.36972705;17.36972705;17.86600496;17.86600496;17.86600496;17.86600496;18.36228288;18.61042184;18.61042184;18.85856079;18.85856079;18.85856079;18.85856079;19.35483871;19.35483871;19.35483871;19.60297767;19.60297767;19.60297767;19.60297767;19.60297767;19.60297767;19.60297767;19.60297767;19.60297767;19.60297767;19.60297767;19.60297767;19.60297767;
Cameroon;CMR;Agricultural land (% of land area);AG.LND.AGRI.ZS;;15.88711895;16.01404667;16.11981976;16.24674748;16.37367519;16.50060291;16.64868524;16.75445834;16.86023143;16.87715513;16.98292822;17.12466417;17.26216919;17.51602462;17.75930274;18.00258086;18.28605276;18.34317023;18.85299655;18.89107487;18.95453872;19.06031182;19.16608491;19.27185801;19.37763111;19.52571344;19.4834042;19.4834042;19.44109496;19.39878572;19.35647649;19.37763111;19.37763111;19.37763111;19.37763111;19.37763111;19.37763111;19.37763111;19.37763111;19.37763111;19.37763111;19.37763111;19.37763111;19.4834042;19.48975059;19.48975059;19.48975059;19.59552368;19.70129678;20.51998054;20.62575363;20.62575363;20.62575363;20.62575363;20.62575363;20.62575363;20.67014808;20.71454253;20.75893698;20.80333164;20.84772609;20.89212054;20.93651499;
Central African Republic;CAF;Agricultural land (% of land area);AG.LND.AGRI.ZS;;7.60538059;7.62143247;7.634273973;7.656746605;7.672798485;7.688850364;7.704902244;7.720954124;7.737006003;7.753057883;7.769109763;7.785161642;7.801213522;7.817265402;7.870348968;7.88821471;7.906353334;7.924347491;7.944646698;7.963653729;7.937654499;7.965986067;7.937140839;7.945359402;7.944381842;7.950855565;7.957791582;7.959122283;7.970162766;7.954478474;8.03492889;7.993033484;7.997528011;7.989823108;7.974573823;7.983402356;7.984044432;7.976179011;7.975215898;7.980031462;7.978747311;7.98019198;7.957398311;7.952101191;7.948730296;7.940543838;7.946643552;7.947927702;7.938136056;7.896882725;7.848085011;7.852258499;7.861408071;7.877780988;7.89351183;7.892709236;7.893993387;8.302032168;8.818902694;8.968666731;9.005265017;9.04218434;9.09948955;
