Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;;;;;10.89569597;10.06198402;8.955243452;13.00910572;20.40668134;29.69315123;27.04118228;33.63755124;46.57222826;48.15845092;41.3999118;49.42020398;53.10002374;49.51919284;53.50188333;51.72569443;48.30215331;52.39602885;62.00000215;64.92383406;66.37219654;68.70133503;69.28413757;67.50695115;68.12303006;63.17410732;56.14321672;46.28916649;7.250906177;6.614150961;6.486691218;5.197980424;5.363813215;3.904611303;4.552411071;5.36983841;5.949052192;7.350648301;11.22479001;10.33521337;10.18715467;11.42112789;11.50172518;12.28559161;12.11225818;14.82867949;13.77429589;12.54887421;12.89344108;15.05247664;16.39991842;19.19404168;20.2346167;21.84498865;22.3718826;22.8981304;26.10316613;22.64464738;18.22409475;18.85629358;19.42914177
Angola;AGO;Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.785212417;3.177453791;5.169693142;3.522759148;2.520982607;1.966539826;3.618374281;3.435114368;3.976134968;4.399056856;4.203550441;6.425598108;9.774760801;12.01044782;22.99582339;19.55293146;18.78510804;20.00368243;21.34116661;19.88676017;24.01077565;19.94083084;15.92002247;13.83230964;14.25693849;12.42611842;9.279727961;7.536387293;8.246539197;7.956831207
Benin;BEN;Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;5.01243664;5.53633105;6.68049505;7.136377711;7.351051453;6.362138676;5.724098585;6.066568627;6.050547344;7.300407349;8.023575444;9.250576324;10.07107635;11.32805842;12.32435379;22.36560877;19.2348025;20.40461982;21.51728112;25.1699104;28.62907311;24.7977724;30.22083544;31.83996194;25.44393576;30.95551126;28.6602538;26.57859881;28.56228675;21.58168211;19.12768904;15.38381026;11.67447662;10.51454471;8.452625141;7.428405154;8.477640746;5.415282989;6.913210987;7.142326952;7.761429738;5.136080002;4.833189689;7.671284648;7.744548152;8.979643926;10.27864814;12.24087839;12.67676655;15.02183135;15.72739789;16.45226331;15.53389784;16.34734762;16.63248238;16.64187398;17.39508947;16.51829247;16.69611617;17.56286208;15.4928447;15.5501997;17.0718596;18.58404344;18.95209544
Bermuda;BMU;Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;BWA;Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;;;;;;;;;;;;;9.140833989;12.36293892;17.1156528;19.32343423;20.49242658;17.85509533;14.21351876;12.6408261;11.28955188;15.11641625;12.88072341;12.02550842;12.66627355;8.558429006;8.297221904;7.922109411;6.640473138;7.004369483;9.384531397;11.85936079;14.68729638;14.22814091;13.99025764;11.89344375;10.09004089;9.685510536;12.15594744;13.87316946;14.71113308;16.51222327;19.19782078;19.97736212;21.84398786;19.67505878;20.83771757;23.36521601;26.20210788;29.24611705;27.42248766;27.78435277;32.85101781;33.15056905;32.54792823;35.95600321;32.65455997;33.91253857;34.67785313;35.85950692;39.63413809;34.438786;29.81203214;29.97884884;32.84836972
Burkina Faso;BFA;Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;1.135480615;2.223472427;2.301095145;3.128029424;3.590612231;3.714768192;3.152048055;3.183452884;3.438040378;4.486934433;4.35028378;4.494296317;4.897064392;5.988707571;8.383788209;10.6057001;13.68994571;16.29071932;16.46644607;15.23257782;14.39340674;13.46237726;12.72871427;12.4813913;11.66554192;13.06808818;13.63729424;14.32867745;14.69603423;16.29397723;16.74978536;12.25698681;10.6772286;9.674289675;6.867867305;6.649223617;6.794435692;11.4243757;10.93338694;8.941332331;10.3212464;9.708668108;8.858713851;11.35347814;12.86977662;13.22533234;14.6096993;12.726384;15.03655779;16.02415884;15.58413533;15.31433375;16.58666179;20.76993909;23.3588662;24.98675836;25.7622388;27.3717236;27.10409071;28.30141619;28.62983995;29.43717117;31.26989583;31.52618378;26.96076094
Burundi;BDI;Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;;;;;2.669223312;2.594072395;2.507529496;3.039548747;3.143480973;2.352340323;3.369728472;4.288613568;4.46345055;4.777233516;9.0976296;2.854367819;3.762320429;3.088789769;6.0245483;7.250581117;6.755751105;9.648543471;8.138502029;6.903673826;3.85805316;3.466795397;4.362723304;4.241581071;5.816443368;6.867202661;8.478063524;10.61845794;10.57712785;13.84664337;14.55654366;11.67090253;13.6395287;11.52730455;13.23048476;15.23594642;16.94813875;16.13925763;20.12626962;19.9469307;17.17043103;14.35899537;15.65043133;14.5614835;13.45927219;14.43211048;18.17511626;21.34057614;19.96351599;19.12441039;19.00420526;16.08201832;16.84867639;15.05013611;17.58719066;20.26397524;23.15387195;34.67020686;41.63883624;47.68104882;
Cabo Verde;CPV;Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;;;;;;;;;;;;;;;;;;;;;3.11824446;3.19965462;2.808059839;2.675590675;2.072196504;2.172696057;1.663642833;2.220226619;2.879563342;3.440401027;4.714781277;4.449122647;4.636654883;13.93359519;19.44388769;24.81929899;24.39554779;29.63947575;29.88247239;39.2921534;38.24907802;29.2439651;32.26121127;34.05374755;36.33438955;37.68072803;43.60739129;40.90288712;46.96667158;52.37704763;55.61035307;59.50853385;58.13030718;58.07738495;57.19237186;56.0060114;54.62224096;54.94535169;53.19662224;51.19582919;67.87112374;66.77374915;57.22213121;54.8741969;52.94297957
Cameroon;CMR;Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;9.70117467;9.812598556;11.58727824;13.30110974;14.06723222;13.69924775;14.31372568;14.84151158;13.44440109;13.82243987;14.20584591;14.13917449;15.27353479;15.31288297;17.1952632;18.74653057;20.80649707;24.53117521;25.35829667;25.71280981;29.54283126;31.15564539;31.24234681;30.89243834;25.23095413;22.87880843;24.01781574;25.86899243;24.39344089;25.07278465;26.37738605;26.41865716;12.52026432;8.048956956;7.476409612;6.848254066;6.799911553;5.528166782;6.433485296;6.763599694;7.24834771;7.840749159;8.063339602;8.23854971;7.795419524;8.402862426;8.123532984;8.285086704;9.224611267;9.628984057;10.75819539;12.28789547;12.37150912;12.92339112;13.69226949;14.15273108;14.33273718;14.02465976;14.64789807;14.0574579;;;;;
Central African Republic;CAF;Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;11.16363502;13.4105958;13.47540816;14.3217662;13.64942329;14.41734417;16.13402062;18.28784119;17.55877133;20.2668502;19.64811775;14.65456267;15.47208652;16.2630476;21.58148623;16.42602151;11.17036487;11.81791156;13.23698247;10.47845138;13.93586792;12.93961878;12.34078237;12.28763362;10.98636552;9.01620147;8.225973698;8.161145004;7.309395139;7.539745042;7.285311851;6.772834543;4.507616604;4.399300751;3.956823876;4.159714052;4.508881983;4.416705796;4.897990653;4.512677883;4.746257023;6.109479139;5.84049758;6.183484712;7.160591845;6.898907878;6.705660372;6.785260826;6.944075765;6.90040688;8.240971492;9.065485475;10.64256793;13.37250569;12.58975735;11.50208659;12.07397764;10.96678866;12.09555501;11.45345575;11.42187898;11.52775471;12.76560119;;
Chad;TCD;Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;3.498552192;5.200777797;4.599107161;5.390332869;5.587271983;5.529871867;6.254209841;8.124152426;8.955467415;9.378772208;7.684254138;6.467801445;6.161555341;7.55196932;9.287078723;12.01001313;9.315659446;10.20630779;12.37017741;17.86838874;17.17232855;13.11880524;10.93846839;10.2315411;11.43651083;13.99422688;20.28257661;21.21364529;7.035728355;6.430632201;6.481099041;5.948406425;6.08781622;5.034537345;3.625668697;3.850477656;3.642482509;3.234293286;3.306278479;3.586104606;3.479363697;4.338486053;4.212367312;4.194897442;3.133762659;1.95252225;1.694904314;1.908859581;2.369222466;2.955915182;3.202570565;3.516378287;3.994530614;4.382188542;5.959493231;6.239151168;9.613181765;9.040548632;8.190580699;7.488045479;7.1743225;8.269692402;;;
Congo Dem. Rep.;COD;Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;;;;1.296083139;1.871891254;1.453741496;1.644629237;1.507319454;1.031243592;1.055666865;1.683908044;1.925664862;2.773946476;3.274773737;4.582185304;5.518386149;4.279188202;4.493255543;4.65797056;3.189052211;2.732581904;2.301952762;2.281082288;1.986517611;1.553001607;1.525472359;1.98299135;2.663408515;2.277532301;1.841713578;1.68989595;0.643386;0.765294953;0.913818722;1.007837151;0.885382691;;;;;0.732211193;0.488173257;0.449182953;0.749559614;1.06818658;1.20107401;2.069763917;2.60657199;4.961602318;5.276529199;3.697574184;4.00023328;4.773472762;5.224634198;5.685373802;6.25134241;7.361041992;5.432805174;5.770480503;5.972071425;7.411712106;7.194080777;9.118289375;11.70703667;
