Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;874.3984462;903.1291284;902.2205014;883.9209009;833.3588867;851.7026458;808.6854209;813.381549;828.4857857;872.1990588;873.6577871;863.4983253;911.4405576;955.8484835;954.2984093;979.3264578;1032.638668;1077.661892;1070.72807;1147.306006;1151.138897;1174.268065;1258.837185;1273.722427;1358.047878;1414.497021;1371.202077;1380.346818;1442.302112;1463.509857;1373.678321;1451.445177;1499.51;1503.414066;
Angola;AGO;Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;506.0989068;501.1013959;487.6652633;489.171805;480.0419345;460.7446875;455.9300607;448.2502878;429.9641143;434.3768318;428.2226693;428.5994809;429.4242074;446.1341321;433.5570801;392.5578024;422.9094587;446.7900057;472.064397;504.9241668;487.2810743;486.2353657;531.2433226;512.0218026;447.1603254;517.5252094;462.934994;456.6922175;405.1797531;416.9965072;397.6331866;418.358996;423.1225176;;
Benin;BEN;Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;314.6094368;309.7098638;307.6980079;301.2626709;296.5110317;296.6791286;336.5402984;339.0059556;324.2533102;327.9432909;274.5814364;283.2302734;294.7241458;301.4991517;305.2795363;296.6474299;339.2709728;358.1233736;355.1915688;361.6537177;363.7435748;352.901249;346.2208221;366.7430878;367.294185;379.4920267;409.0388211;412.3043521;423.2833238;414.5436411;426.1854787;376.0552953;375.8209836;;
Bermuda;BMU;Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;BWA;Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933.1061125;924.8328096;1036.202951;1009.967227;967.997723;965.6867953;919.406031;942.699774;1040.821176;1051.854813;1070.361197;1060.851327;1057.526048;1035.717682;1076.411444;1090.975601;1096.757744;1117.658743;1158.359177;1054.28611;1130.549924;1069.645258;1197.221546;1240.353338;1333.166362;1308.134452;1245.115705;1280.407473;1343.698473;1241.677932;1119.82959;1142.897986;1165.149687;;
Burkina Faso;BFA;Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172.6930311;173.9334034;174.2391702;176.2967203;173.3790629;173.2765626;162.0265325;162.1318587;160.958601;120.2944782;122.8763316;138.8084043;140.3666602;145.4122029;149.2020255;152.4540653;160.0519471;167.380497;168.8003109;171.4498883;227.9390251;235.6749139;249.0690451;258.2297064;264.9499046;279.2199821;271.6155753;285.3137994;299.9134373;302.3306934;263.882988;303.1718535;312.9290858;;
Burundi;BDI;Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabo Verde;CPV;Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77.36802263;;;;;;;;;;;;;;185.6603459;204.0753223;207.854453;207.5817731;;;;;;;;;;;;;;;;;
Cameroon;CMR;Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;439.6060626;431.11357;423.4904081;425.8558034;428.4332156;424.113046;423.0488802;426.6007535;427.3467338;419.3665986;425.8394733;419.6682483;429.5026481;435.1470806;437.0823655;428.5395941;385.0351531;352.8005789;345.8728652;363.5488409;356.1412559;363.1696927;368.6746183;375.3716159;395.0926566;402.9836077;400.0829701;392.7762927;392.392157;387.4194117;386.8838423;385.0816854;384.1048632;;
Central African Republic;CAF;Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
