Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;39.0431726;46.24455689;19.79387268;24.68468205;25.08405873;22.60394356;25.98619752;23.43441677;23.1356346;23.78877682;22.0727334;18.44251915;20.44956198;25.503663;38.74904361;33.68893622;33.05458393;30.58656693;25.53583672;31.14830021;34.33846147;34.58725077;30.92485632;27.94180611;25.71001618;23.58393289;12.85475734;14.27247473;15.50786788;18.63926334;23.44368508;29.11782217;25.31959428;21.783877;22.53072525;26.19477598;29.76044833;30.90631138;22.57835401;28.15011312;42.06971772;34.1212314;33.1371641;35.66906353;38.39295946;44.3712829;45.76413427;44.72015567;45.64718181;32.58600627;34.98822961;35.98808641;34.382792;30.79936493;27.61948637;20.52814168;18.48668797;20.33367952;23.42310574;20.40794195;15.53520111;23.44436729;30.80897855;23.61953637;
Angola;AGO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.0849959;54.32133881;58.38035832;65.52626777;63.4678635;67.90578337;72.4750288;58.7573003;61.54311589;60.66994752;55.94013063;50.74708579;44.69502946;29.75459795;28.12448545;29.004102;40.83628983;40.79075505;38.31454074;47.74527597;44.3916421;40.83246624;37.88274281
Benin;BEN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;6.123913813;4.583489549;3.517823197;3.821360213;5.137338272;7.267563064;6.84654487;7.66582205;9.334642587;11.77321922;15.17657983;17.78579859;14.38440221;15.66197565;14.31675614;14.52824593;12.99124631;16.17890261;16.52508821;17.51637947;15.81651288;15.93050046;17.77103583;13.76428919;19.57937532;23.65261835;16.67592095;15.26752812;13.80373921;13.49542898;19.18130301;21.00248606;23.23914805;22.46438304;28.32701862;27.3689425;26.49881155;27.17613459;27.09293955;23.00953079;20.60530255;19.86857881;19.72661078;18.64429725;18.51354757;18.48363998;18.05792571;22.04285312;22.14072027;19.92796684;23.07204807;20.8496515;23.89673687;27.57056532;31.43084112;24.72045121;27.60678807;27.20559478;27.27423062;29.63052719;19.87247043;20.91880618;20.81533005;20.00351909;18.84015692
Bermuda;BMU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.79499274;52.53924198;50.51254369;51.61319109;51.16124321;49.97083946;49.33005658;48.53814925;51.47915638;51.7434244;47.13465123;47.90012726;50.29884889;50.23129083;56.31054988
Botswana;BWA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;26.27563603;27.21632299;27.92603926;28.99444334;28.81100983;31.70731707;29.26829268;24.61384796;23.05263158;22.77227723;24.6555475;33.14977974;37.37214792;38.83151372;40.92329887;43.59413668;50.38639876;50.90072321;52.06053789;54.12301706;53.05924444;49.705064;54.56198268;62.08344675;60.81127215;66.29104882;68.33084948;75.12956509;70.52194053;59.22459785;55.05540706;53.02951416;48.1795631;47.0957972;47.82239868;50.83649784;53.82844448;60.88073855;49.2891721;55.19726829;51.83181007;48.65760824;52.15742678;48.82685783;49.61378778;52.92355354;51.78082676;56.47996293;46.94690466;35.83366186;42.14433151;44.23639792;48.11502383;61.37976175;61.28296789;53.09089734;54.61135476;42.92004249;44.22814392;37.08781766;31.29036628;41.91255216;43.54361178;32.24985829;26.0469934
Burkina Faso;BFA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;4.861965447;5.428886039;5.531983697;5.579492081;2.798836183;4.652596543;5.05173085;4.928506232;6.204738147;5.817213741;5.455240233;5.511467517;6.399727195;6.31179758;8.320763173;7.348254348;8.205252445;7.960266865;7.468419216;8.246134387;8.950521024;9.276410607;8.195716128;7.884149398;10.96091363;9.921464694;8.990563134;11.3588168;10.99870019;8.748862592;10.96669141;10.44754844;8.846480369;8.951543281;14.20162115;14.14055654;10.56360521;10.812531;12.80810302;8.354005506;8.844717485;9.044082767;8.865365632;9.220431658;10.8815873;9.841847478;10.9568635;10.34854222;10.14932705;13.78897086;20.51584886;26.19550052;26.59808542;27.07698545;26.93200415;26.10764554;25.9159648;26.45238564;28.07890614;29.25769566;31.77686569;32.79707352;31.74484289;28.86229551;28.48732743
Burundi;BDI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;12.49999962;12.93103499;13.11475373;7.518797057;14.0939593;10.3479635;10.77615982;10.80058971;10.29569557;9.658715376;10.68877683;8.435749897;11.73444345;11.0161732;9.753397451;8.275645724;13.72648388;17.59561023;11.70769278;14.16264464;8.809380565;9.143350509;10.211975;9.045580083;11.50400691;11.02661916;11.7232284;9.744902936;12.59077005;9.74574399;7.872992294;9.917377701;8.749180522;9.381960846;10.27176505;12.92634285;5.820321019;9.835472579;7.999750125;7.575757576;6.318970594;5.179202165;4.685804181;6.381414025;6.952748287;6.200000166;7.3;6.800000136;10.50000026;6.600000274;9.700001639;8.800000284;9.69609532;9.095256069;8.696021194;6.417273565;6.38452219;6.026574329;5.685654314;5.172039999;4.54932;5.00029;4.971098508;5.288947695;
Cabo Verde;CPV;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;17.07476822;21.46913769;22.92743044;24.62794582;22.77305584;22.63847867;17.60986227;18.09904103;16.70766225;19.22544523;17.13196947;16.56407354;17.28300759;13.26083108;15.04629954;17.13695269;20.19915756;27.4417263;22.79615288;20.97594563;27.00721854;29.80941288;32.54495671;31.36435117;32.00417307;37.77736046;45.13220526;33.74589812;45.93580455;41.36029331;30.28382268;32.87426103;37.46345323;37.51683857;37.24829248;41.13520163;41.47294872;42.06880358;45.86599346;46.70503314;25.29337077;23.84979836;38.68425422;38.32339187;41.85727712
Cameroon;CMR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;23.75939244;20.99473486;20.62527266;22.12355169;23.38342862;26.20993168;23.01815778;20.39186958;20.69372592;25.43808981;22.68495913;22.64259686;25.05995286;23.65519781;21.0785468;27.88474819;21.86705334;33.21433786;30.39760328;33.4785942;33.44877106;23.2813706;16.69425643;16.03297487;20.70703664;20.1829144;19.99888046;20.54702225;16.39071724;21.48102051;21.61848797;24.26249197;26.65065533;21.979185;19.42860057;24.85681273;25.26121725;22.98615837;19.43691146;20.54757371;22.2454564;24.17909406;26.9786418;27.00836547;19.58241528;22.3688903;24.22968662;23.87672384;23.63910867;23.60997553;20.98914963;18.94997876;18.35109858;18.73625347;19.85009075;15.23573698;16.50888404;19.32181332;16.6141432;14.73718985
Central African Republic;CAF;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23.27272448;26.49006579;24.59016513;25.23659242;28.44826939;27.10026829;28.35051546;26.30272953;34.31229775;27.33466412;31.93849789;29.79923294;24.93480069;28.61804186;27.73682389;21.13034658;22.18686626;25.2043977;23.42031763;22.43256736;25.22154522;24.38344999;22.17775213;24.14899931;23.39399426;22.00851896;18.18642624;17.84414116;17.74475246;20.30388635;17.06746887;17.58667102;16.8657;17.09955455;23.39941089;22.22094496;21.47038628;26.88428026;22.65688657;19.22365028;20.37221359;17.15725384;15.96270494;18.23600384;13.99791751;13.36275333;14.31600515;14.11532742;11.0036647;9.841649902;11.62580107;13.1278201;11.550133;14.97295479;16.67578759;17.06766062;14.82187966;17.25977376;15.94003;15.75538;15.17248;13.22746;12.3005;14.44082621;15.45697383
