Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;Fertility rate, total (births per woman);SP.DYN.TFRT.IN;7.503;7.564;7.607;7.649;7.672;7.711;7.71;7.712;7.711;7.709;7.704;7.671;7.634;7.592;7.545;7.485;7.405;7.312;7.211;7.119;6.994;6.845;6.675;6.496;6.283;6.035;5.645;5.298;5.023;4.761;4.509;4.366;4.274;4.076;3.914;3.487;3.139;2.886;2.691;2.62;2.59;2.519;2.429;2.451;2.5;2.562;2.628;2.704;2.785;2.825;2.875;2.899;2.996;2.997;3.084;3.091;3.091;3.09;3.019;2.997;2.94;2.87;2.817;2.766;
Angola;AGO;Fertility rate, total (births per woman);SP.DYN.TFRT.IN;6.708;6.79;6.872;6.954;7.036;7.116;7.194;7.267;7.332;7.388;7.434;7.467;7.488;7.498;7.5;7.494;7.485;7.475;7.467;7.461;7.459;7.459;7.461;7.462;7.459;7.451;7.435;7.409;7.373;7.328;7.272;7.208;7.138;7.065;6.99;6.918;6.851;6.789;6.732;6.683;6.639;6.601;6.567;6.533;6.499;6.461;6.419;6.372;6.32;6.26;6.194;6.12;6.039;5.953;5.864;5.774;5.686;5.6;5.519;5.442;5.371;5.304;5.209;5.124;
Benin;BEN;Fertility rate, total (births per woman);SP.DYN.TFRT.IN;6.282;6.402;6.457;6.51;6.565;6.605;6.625;6.643;6.669;6.705;6.735;6.766;6.799;6.809;6.822;6.83;6.83;6.832;6.824;6.905;6.989;7.056;7.055;7.045;7.031;7.003;6.962;6.918;6.871;6.815;6.741;6.666;6.593;6.51;6.419;6.33;6.279;6.23;6.136;6.032;5.937;5.848;5.793;5.763;5.718;5.692;5.673;5.627;5.548;5.491;5.452;5.436;5.429;5.41;5.374;5.32;5.254;5.155;5.031;4.9;4.795;4.707;4.634;4.556;
Bermuda;BMU;Fertility rate, total (births per woman);SP.DYN.TFRT.IN;3.63;3.594;3.441;3.476;3.231;3.077;2.794;2.567;2.451;2.361;2.308;2.277;2.225;2.143;2.023;1.888;1.864;1.689;1.798;1.661;1.664;1.596;1.643;1.812;1.683;1.774;1.732;1.746;1.797;1.76;1.699;1.744;1.725;1.7;1.684;1.677;1.699;1.692;1.794;1.794;1.738;1.861;1.815;1.79;1.76;1.782;1.79;1.934;1.86;1.853;1.767;1.569;1.528;1.522;1.42;1.44;1.45;1.419;1.374;1.383;1.451;1.389;1.397;1.401;
Botswana;BWA;Fertility rate, total (births per woman);SP.DYN.TFRT.IN;6.595;6.564;6.536;6.578;6.613;6.604;6.606;6.598;6.582;6.559;6.55;6.544;6.563;6.587;6.614;6.613;6.599;6.543;6.479;6.395;6.292;6.163;5.97;5.785;5.625;5.482;5.332;5.104;4.878;4.666;4.509;4.365;4.255;4.152;4.021;3.792;3.573;3.431;3.362;3.313;3.294;3.248;3.175;3.106;3.063;3.082;3.114;3.127;3.131;3.133;3.135;3.103;3.07;3.045;3.027;3.008;2.99;2.969;2.941;2.906;2.861;2.827;2.785;2.732;
Burkina Faso;BFA;Fertility rate, total (births per woman);SP.DYN.TFRT.IN;6.248;6.286;6.322;6.356;6.419;6.471;6.527;6.585;6.645;6.664;6.685;6.698;6.719;6.77;6.842;6.913;6.952;7.046;7.148;7.194;7.222;7.256;7.253;7.251;7.245;7.242;7.218;7.168;7.109;7.047;7.009;6.973;6.936;6.889;6.843;6.814;6.779;6.724;6.661;6.586;6.519;6.431;6.339;6.28;6.216;6.182;6.17;6.11;6.05;5.992;5.936;5.869;5.793;5.697;5.595;5.478;5.331;5.17;4.921;4.681;4.44;4.361;4.275;4.186;
Burundi;BDI;Fertility rate, total (births per woman);SP.DYN.TFRT.IN;7.003;7.023;7.038;7.067;7.09;7.113;7.135;7.156;7.18;7.215;7.214;7.213;7.21;7.215;7.222;7.244;7.248;7.245;7.259;7.307;7.353;7.329;7.314;7.298;7.295;7.294;7.32;7.38;7.383;7.387;7.365;7.336;7.301;7.272;7.23;7.184;7.123;7.04;6.958;6.897;6.872;6.849;6.819;6.785;6.746;6.708;6.659;6.588;6.515;6.409;6.26;6.108;5.991;5.889;5.794;5.695;5.587;5.481;5.38;5.271;5.177;5.078;4.98;4.878;
Cabo Verde;CPV;Fertility rate, total (births per woman);SP.DYN.TFRT.IN;6.885;6.922;6.953;6.976;6.989;6.993;6.99;6.982;6.97;6.954;6.935;6.913;6.887;6.855;6.818;6.771;6.714;6.645;6.564;6.473;6.375;6.273;6.17;6.068;5.97;5.921;5.81;5.681;5.552;5.452;5.36;5.262;5.123;4.953;4.723;4.494;4.257;4.052;3.898;3.727;3.545;3.366;3.192;3.033;2.9;2.726;2.555;2.409;2.298;2.246;2.329;2.329;2.153;2.067;2.031;1.968;1.966;1.93;1.804;1.698;1.591;1.554;1.533;1.522;
Cameroon;CMR;Fertility rate, total (births per woman);SP.DYN.TFRT.IN;5.725;5.732;5.729;5.731;5.739;5.796;5.854;5.951;6.043;6.144;6.197;6.259;6.293;6.326;6.361;6.401;6.447;6.508;6.545;6.581;6.613;6.61;6.594;6.575;6.563;6.564;6.572;6.538;6.481;6.414;6.362;6.324;6.256;6.155;6.043;5.919;5.795;5.706;5.656;5.604;5.514;5.441;5.435;5.432;5.436;5.421;5.369;5.343;5.294;5.236;5.154;5.052;4.982;4.905;4.844;4.841;4.842;4.804;4.74;4.651;4.557;4.468;4.397;4.322;
Central African Republic;CAF;Fertility rate, total (births per woman);SP.DYN.TFRT.IN;5.948;5.958;5.97;5.985;6.005;6.028;6.057;6.076;6.101;6.063;6.027;5.993;5.959;5.925;5.899;5.877;5.936;5.986;6.039;6.09;6.13;6.167;6.16;6.151;6.138;6.119;6.106;6.12;6.098;6.073;6.049;6.03;5.964;5.926;5.919;5.943;5.963;5.924;5.889;5.875;5.851;5.807;5.785;5.799;5.784;5.812;5.84;5.867;5.902;5.936;5.963;6.009;6.047;6.075;6.099;6.126;6.126;6.127;6.108;6.09;6.059;6.052;6.023;6.012;
