Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;1.64736418;0.011817577;0.613145706;0.58567784;2.710094467;0.764884586;1.054814184;0.850904441;0.512629547;0.077285262;0.823384606;0.029780562;-0.118497123;0.000855798;0.001494768;0.000686577;0.008347246;0.005560705;0.022031474;0.021733994;0.000539762;0.025458852;0.06249592;2.00E-06;2.35E-06;2.39E-06;0.575183341;0.539669753;1.258825318;0.5994983;0.511220957;1.873492382;1.731188975;0.868036712;0.962586876;1.07990333;1.495723352;1.183818154;1.462773446;1.827421647;1.293904675;1.177673291;0.660551954;0.736559065;0.628688968;-0.286832291;0.906300706;0.647902696;0.753576089;0.713947308;0.693816015;0.46672848;0.107160824;0.490408063;0.465221075
Angola;AGO;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;;;;;;;;;;;0.630975104;0.88370687;2.086485073;1.803662496;1.095005676;3.68013758;3.308572716;1.471968449;1.493756423;1.96044201;-2.981428692;6.266630536;3.466087528;5.236863254;3.837036558;8.52948884;2.399001963;5.382316118;17.12161168;40.16724856;9.62386615;24.0090757;11.40619191;20.08101444;9.329239296;-3.526657179;-0.072000996;-1.368762395;1.896313897;3.136660683;-3.8511115;-2.704873236;-1.143767779;-5.380130995;2.690005647;11.08133903;-0.340242829;-10.03837678;-8.125891109;-5.780813143;-3.848263987;-6.548542276;-6.320563843;-2.497352736;-1.380230474
Benin;BEN;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;2.008226454;0.835638703;1.169784851;0.693926651;-0.422446551;0.279190961;0.351140008;0.416775214;0.081107268;0.300788216;0.307173113;0.161898101;-0.000960154;0.000958313;0.001088613;-0.00860657;0.082329042;0.00640036;-1.336959868;-0.074450533;-0.150760018;0.019825556;0.056291442;-0.951216876;-0.444751624;-0.35666864;-0.620945815;0.537109663;0.46002921;0.253298447;-0.363490759;0.456588184;-0.462423415;0.198870349;-0.658688596;-0.133820369;-0.175764668;1.703869735;0.49256299;-0.193121765;0.561144748;1.508440505;2.527057773;2.878637471;3.054209933;1.315011821;1.11488131;1.581704952;1.360735733;1.516207809;1.109344141;1.956086611;2.157705376;2.25158091;2.527656312
Bermuda;BMU;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.183158775;3.280366226;1.819859206;1.922292821;1.135720502;0.137152332;0.308131446;18.54303395;0.897674182;-1.435058594;9.120047167;2.457444723;-1.062917926;3.356840803;-4.084882161;0.74651445;0.849151218;-0.053405783;-2.150326914;-1.061083159;-4.033835397;1.320463261;0.059134468;6.918729484;0.681418927;0.074847517;1.757822594;1.312220106
Botswana;BWA;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;;;;;0.022872513;-10.77479972;3.02936631;2.708745323;6.912772275;15.59413989;10.51482628;8.235945532;2.07645601;2.029786055;5.009154235;4.809166547;5.05559969;5.779664159;1.509574837;1.367978161;2.529653463;-0.20826149;-0.037723339;-6.897608753;-0.332324637;1.488463067;1.46835552;1.994112587;1.98974017;0.668732763;0.987700169;0.558884524;7.501518584;5.565281275;4.363836574;4.242949051;4.908814694;4.68081345;4.854404973;2.062560052;1.728061348;1.94040749;1.050401065;0.470417841;3.330197309;2.797732675;0.944944817;1.617960929;1.678933864;0.559653498;0.212513875;-1.701614702;3.492047052;3.820113181;2.408494764
Burkina Faso;BFA;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;0.087259222;0.207292045;-0.120982616;0.65207059;0.355462797;0.03191582;0.209923281;0.439346764;0.078612955;0.085216844;0.001036957;0.136836472;0.111145937;0.123728455;0.114392947;-0.092109898;0.154200993;0.056122052;0.141817377;0.216777278;0.014832486;0.018181554;0.09274159;0.099338765;0.969328378;0.412551202;0.627288329;0.398984078;0.157122759;0.233833722;0.778458188;0.19643671;0.414815789;0.614299395;0.263190384;0.848145875;1.280645787;0.284717939;0.351169723;0.59946894;0.38449222;1.190744934;2.621459905;3.647667731;2.562551548;1.959927157;3.043803499;0.018237034;1.689199429;1.016478737;-0.557279534;-0.405926078;3.5586103;0.538454185;0.356745606
Burundi;BDI;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;0.041197603;;0.166123341;0.144575372;0.063719451;0.076011909;0.017840706;-0.045659135;0.14584771;-0.038338821;0.500148584;1.143391787;0.088825529;0.280720857;0.120549786;0.046832717;0.12682003;0.120879772;0.110552499;0.050921501;0.11089421;0.076452053;0.055407891;0.050464886;0.000427861;0.198107378;;;;-0.058805185;1.342152443;-0.001304856;;;0.004882857;0.052340421;0.002481105;0.036885807;0.237816297;0.0195573;0.038411913;0.150056711;0.025925039;4.761250642;3.390075785;0.237127555;0.002097065;8.114501839;0.249834168;1.175605937;0.801085827;0.806162274;0.757355123;1.297942214;1.466286138
Cabo Verde;CPV;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;-0.004581235;1.184316386;0.226217656;0.065067933;0.082309761;0.545399203;0.126125689;0.743054427;0.523498436;5.37425869;5.683104752;2.359642569;1.301706826;9.10423779;6.342824223;1.600131126;2.378544877;4.822134152;7.312720062;8.281227111;11.87643173;11.62474734;10.76247535;6.802418631;6.368021378;4.99538224;6.691298;4.401250115;8.844073221;5.490245133;6.828451179;5.594696735;4.69595736;5.457887557;3.712184915;4.457304982;5.430144521;6.251405189;3.972134008
Cameroon;CMR;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;1.38983355;0.137435776;0.220256682;0.163038331;1.001197946;0.94853502;0.565889944;0.256594726;0.86960653;1.049162061;1.945114195;2.047984912;1.685615613;3.112299603;0.241627538;3.700831637;-0.764946678;0.888344946;0.754838562;-0.778514699;-0.916249105;-0.122447756;0.24191782;0.031644987;0.041273156;0.139033996;0.941242104;1.386672915;0.488852765;0.30270039;1.511444733;-0.106526708;4.068984585;2.096943831;0.361118041;1.248608313;0.282739555;0.792290666;0.075754668;2.671669502;1.949523867;2.132703913;1.748840476;1.622968063;1.994843277;2.15564021;1.963349435;2.256209759;1.914857813;2.583406025;1.655956147;2.140613269;2.087350322;1.667118918;1.802714735
Central African Republic;CAF;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;0.634562966;0.347479385;0.651273787;-0.073750913;2.061132402;1.478899186;0.820121869;-0.560847321;0.99651151;3.24751492;0.670427597;0.832097468;1.223260839;0.678485185;0.807319718;0.34590588;0.727137995;0.990740893;-0.30258953;0.104157669;0.048437878;-0.353864327;-0.756175029;-0.780440923;0.423212351;0.555910651;1.084111549;0.159683663;0.754709012;0.598007453;0.096977752;0.555825632;0.566657013;0.989218808;1.186770557;0.75491759;2.37163652;3.338605889;5.874863879;2.045098915;2.871289223;1.51389343;2.790104788;0.109532467;0.183395896;0.176904972;0.39759002;0.332412483;0.810612744;1.152529799;0.074669893;0.214980465;1.009297915;1.516046565;1.468485053
Chad;TCD;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;0.127859052;0.059776826;-0.017081533;0.942522369;2.114836236;2.347900831;3.094527556;2.261540961;3.064497218;-0.128445565;-0.041626234;-0.012543653;-0.014382111;-0.010811904;0.999480829;5.193269449;2.640921063;0.701554073;0.086958695;1.307072838;0.540663174;0.225850606;0.104193926;1.03611068;2.294781132;2.255420243;2.455363426;2.867497824;1.24350917;1.598057741;8.294696314;26.87951429;46.27524127;25.98292015;10.55411991;-1.147686633;-2.86740172;-2.960364461;3.482333323;3.043608919;2.226410013;1.689506097;3.240474141;2.91179134;-3.72317778;3.843800923;1.878371532;2.722155313;3.007049667;3.801538194;3.734656908;4.17913326;3.444026275;4.779923465;4.942793861
Congo Dem. Rep.;COD;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;0.131824831;0.102595811;0.169590007;0.225151979;0.541629838;0.089085613;2.471140005;0.14735397;0.635415929;0.954645401;0.76151825;0.555359657;-0.017360517;-1.751567485;-0.412969182;0.961634331;0.068557729;-0.718907497;-0.044463001;-0.067724373;-0.1546563;0.12872143;-0.008872851;0.064168067;-0.025771503;-0.396035086;0.429527591;-0.728142744;0.986360812;0.236879335;0.493452282;1.37428477;2.14937972;4.377642342;3.972162818;1.50445262;1.772085123;10.80236746;8.726273541;-1.30413525;12.7160135;6.176624593;9.866868879;5.194611611;4.176029529;3.07434209;2.510784036;2.756443314;2.959042579;2.60931448;3.075078475;3.032206389;2.141855154;3.544805039;4.120257062
Congo Rep.;COG;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;1.854810488;15.11821299;16.1443784;12.60209534;7.875433069;2.007553929;0.31541994;0.259574128;0.460917801;1.374901959;2.346836843;1.547166331;1.63605634;2.673923924;1.593218571;0.587247631;1.213436654;1.890931883;0.41107739;-0.298176845;0.805773714;1.202029024;0.093379545;10.65647665;0.168987137;5.329956449;2.457105485;-2.118241498;-8.703069305;-2.900434691;-3.040392584;-4.844261093;6.594565067;6.280145682;1.901620652;12.04984558;18.44598012;16.21655503;16.72100182;12.22888625;11.57729522;1.907834795;-0.391399398;10.46210101;16.13399517;34.4182561;0.462969363;37.32277487;29.20861002;-10.21475465;-17.2921171;-2.159828737;3.365083361;4.088972179;3.839802838
Cote d'Ivoire;CIV;Foreign direct investment, net inflows (% of GDP);BX.KLT.DINV.WD.GD.ZS;;;;;;;;;;;2.109265736;0.991081204;1.011138523;2.033151187;1.061836571;1.773570932;0.960520871;0.233836242;1.054486712;0.817571255;0.930262944;0.388374156;0.627320002;0.548829861;0.317760103;0.417905703;0.772523108;0.86749601;0.504135972;0.189496994;0.448639314;0.17655147;0.619151958;1.58570823;1.41381797;1.925072948;1.489636729;2.302018252;3.874171791;1.247145695;1.415781934;1.622077268;1.177444924;0.778244315;1.203627822;1.452181084;1.388231801;1.543116648;1.374418808;1.173390786;1.026062392;0.822954277;0.909737109;0.953203642;0.899528921;1.079141548;1.193758009;1.856734864;1.059986996;1.405830482;1.131112457;1.912826559;2.254726532;3.121323518;4.393560833
