Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;GDP (current US$);NY.GDP.MKTP.CD;2723615451;2434747056;2001444544;2702982018;2909316435;3136284307;3039859187;3370870376;3852147027;4257253264;4863526897;5077183094;6766743957;8707858912;13209871626;15557902754;17728240932;20972113685;26364491313;33243706860;42345829079;44348590461;45207167470;48801369800;53698548293;57937868670;63692007897;66745818375;59089396860;55634721573;62048507531;45715676428;48003133347;49945584453;42543176829;41764291672;46941554225;48177612042;48187781984;48640671735;54790398570;59413400924;61516103406;73482264191;91913680985;1.07E+11;1.23E+11;1.42E+11;1.80E+11;1.50E+11;1.78E+11;2.18E+11;2.27E+11;2.30E+11;2.39E+11;1.87E+11;1.81E+11;1.90E+11;1.95E+11;1.93E+11;1.65E+11;1.86E+11;2.26E+11;2.48E+11;2.64E+11
Angola;AGO;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;5930503401;5550483036;5550483036;5784341596;6131475065;7554065410;7072536109;8084412414;8769836769;10201780977;11229515599;10603784541;8307810974;5768720422;4438321017;5538749260;7526421519;7648380196;6506221616;6152923310;9129594970;8936079118;15285592370;17812704586;23552057679;36970900884;52381025141;65266415494;88538665085;70307196182;83799474070;1.12E+11;1.28E+11;1.32E+11;1.36E+11;90496420507;52761617226;73690154991;79450688259;70897962732;48501561204;66505129988;1.04E+11;84875162197;80396942242
Benin;BEN;GDP (current US$);NY.GDP.MKTP.CD;226195578.4;235668220.5;236434954;253927697.3;269819005.9;289908680.4;302925235.2;306221953.1;326323105.3;330748244.5;333627713.5;335073027.5;410331857;504376074.2;554654860.7;676870140.3;698408261.9;750049778.8;928843469.4;1186231020;1405251847;1291120188;1267778670;1095348199;1051134009;1045712789;1336102025;1562412228;1620246084;1502294416;1959965330;1986437797;1695315306;2274558083;1598075944;2169627138;2361116449;2268301646;2455092686;3677393999;3519991440;3666222635;4194342686;5349258094;6190270380;6567654954;7034111315;8169048383;9787734526;9738626517;9535345016;10693321364;11141358116;12517845124;13284527847;11388160997;11821065853;12701655837;14262408090;14391686313;15686741894;17687623535;17425405084;19673290996;21482643720
Bermuda;BMU;GDP (current US$);NY.GDP.MKTP.CD;72400000;76500000;80700000;82600000;92200000;98000000;115000000;134800000;150000000;164900000;186300000;211100000;235400000;269500000;312600000;345000000;386300000;447000000;475800000;517200000;613299968;739100032;785500032;889400000;985699968;1039500032;1173500032;1296499968;1415100032;1501500032;1592400000;1634900000;1679900000;1820359900;1867160100;2030750000;2695390000;2932827000;3130748000;3324433000;3480219000;3680483000;3937228000;4186525000;4484703000;4868136000;6144000000;6767000000;6980000000;6656000000;6634526000;6312691000;6378188000;6465756000;6413988000;6654541000;6899911000;7142316000;7225977000;7423465000;6887364000;7290037000;7874381000;8579242000;8980200000
Botswana;BWA;GDP (current US$);NY.GDP.MKTP.CD;30411413.66;32902612.87;35644956.64;38091842.85;41616347.79;45788696.33;51465655.39;58642354.09;66248441.42;77361546.51;96243233.66;127448613.5;164460915;244124164;306044207.5;355168571.5;372025093;451624780.3;590407374.4;819870258.8;1060889704;1073812830;1014945696;1172230397;1240822167;1114783343;1392602164;1965226890;2644554159;3083822112;3790636324;3942876703;4146464587;4160129175;4259259604;4730599122;4847757218;5020265627;4790481509;5484263347;5788329609;5489608300;5438863983;7511582173;8957467707;9918907108;9919158482;10567270656;10730829116;10118459242;12637273429;15110643612;13907464500;14271738933;15470088501;13530748845;15082637184;16105155857;17031943186;16725908149;14960251611;18750182235;20321150598;19411266967;19400774882
Burkina Faso;BFA;GDP (current US$);NY.GDP.MKTP.CD;330442815.8;350247234.3;379567099.2;394040667.1;410321645;422916789.7;433889766.2;450753923.5;460442689.4;478298645.4;458404268.8;482411179.1;578595522;674773569.9;751133430.4;939972703.5;976547188.1;1131224878;1475583645;1748480621;1928719888;1775842334;1754450096;1600278605;1459880132;1552493196;2036303358;2369834950;2616040479;2615587734;3101300779;3135045584;3356692505;3199536465;1895290637;2379517975;2586550595;2447669102;2804902367;3389566713;2968370088;3190371081;3622350063;4740768143;5451688538;6146353173;6547419820;7625722837;9451435490;9450696873;10109619741;12080295978;12561015157;13444300486;13943016077;11832159316;12833363045;14106955615;15890066221;16032813503;17725010533;19697516284;18820218691;20324617845;23250214910
Burundi;BDI;GDP (current US$);NY.GDP.MKTP.CD;195999990;202999992;213500006;232749998;260750008;158994963;165444571.4;178297142.9;183200000;190205714.3;242732571.4;252842285.7;246804571.4;304339523.9;345263492.1;420986666.7;448412753.6;547535555.6;610225555.6;782496666.7;919726666.7;969046666.7;1013222222;1082926304;987143931.2;1149979286;1201725497;1131466494;1082403219;1113924130;1132101253;1167398478;1083037671;938632612;925030590.2;1000428394;869033856.3;972896267.9;893770740.2;808077223.4;870486065.9;876794723.1;825394519.4;784654423.6;915257323.4;1117113080;1273375078;1356199387;1611835857;1781455140;2032135192;2235820809;2333341334;2451606632;2705783330;3104003546;2644487777;2723586963;2667182200;2576518880;2649680261;2775798697;3338722828;2629391600;2162378759
Cabo Verde;CPV;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;142246815.3;139468209.1;140630679;138476175.6;132019038.6;137728204.8;190651167.6;235253064.7;264308140.3;267448571.4;306890962.6;319827058.6;357160985.3;490417389.7;406580652.3;487148993.5;501979269.8;490608657.9;521910560.5;592416703.1;539227277.6;563090490.4;620507387.5;813260468.9;924940011.8;972241676.9;1107571458;1649621739;1959620648;1852334575;1824751468;2046817987;1913081210;2028910915;2041930125;1749857620;1849789986;1996741540;2205099507;2252177124;1821565614;2051842619;2247003344;2539203429;2767599017
Cameroon;CMR;GDP (current US$);NY.GDP.MKTP.CD;614206068.5;652777608.3;694247864.4;718320845;776650176.9;814083265.5;851112534.6;936175260;1046191218;1100551489;1151216993;1236941394;1498251890;1901393361;2157415533;2857037371;2898090002;3394664024;4662852583;5919002983;6674569047;6610938617;6611255964;6870200010;7311938026;8544810498;11857056199;13049659981;12236057362;11012566195;12314482628;11840192296;12071775335;16181814713;8902446252;10864772471;11093538846;10789458433;11298144990;11565826465;10566579295;10953485349;12417251350;15970315035;18826214136;19509852207;20910512975;23928250433;27715142033;27932970317;27507501821;30630910495;30155062329;33728621180;36386544706;32210233020;33814337044;36098547033;39955552190;39667757528;40773241177;45011937347;44347206073;49279410983;51326764685
Central African Republic;CAF;GDP (current US$);NY.GDP.MKTP.CD;112155598.5;123134583.5;124482773.8;129379123.8;142025078.7;150574795.4;157930018.1;163820513.6;191767441.6;188039210.1;189106529.2;201450799.8;230317883.4;271183082;281398705.6;378660016.3;451152461.3;507298147.5;610578632;700764747.8;797048198.5;694803622.9;748312390.8;658679332.7;637820670.3;864849836.3;1122265013;1200991978;1264899288;1233930281;1440711459;1377374987;1411917553;1278781262;851174356.8;1115389674;1007791127;937741513;967338389.7;999477510.7;916777282.7;932648604.8;996068144.9;1142315523;1272360517;1337894379;1461859762;1699811295;1993407888;2067381665;2142591540;2437982705;2510126512;1691544110;1894813389;1695825714;1825018145;2072349973;2220979146;2221301351;2326720900;2516498412;2382618615;2555492086;2751544520
