Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;180.0;230.0;240.0;250.0;230.0;260.0;290.0;320.0;350.0;330.0;460.0;570.0;760.0;970.0;1100.0;1140.0;1370.0;1700.0;2050.0;2270.0;2330.0;2250.0;2320.0;2450.0;2630.0;2850.0;2780.0;2590.0;2400.0;2010.0;1930.0;1750.0;1640.0;1570.0;1530.0;1510.0;1550.0;1540.0;1600.0;1720.0;1840.0;2090.0;2440.0;2910.0;3310.0;3780.0;4430.0;4570.0;4870.0;5050.0;5630.0;5970.0;6030.0;5390.0;4920.0;4440.0;4450.0;4480.0;4020.0;4120.0;4430.0;4950.0;5320.0
Angola;AGO;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;600.0;690.0;680.0;660.0;870.0;790.0;920.0;340.0;290.0;190.0;370.0;370.0;450.0;420.0;340.0;360.0;400.0;600.0;710.0;1020.0;1380.0;1830.0;2480.0;3040.0;3180.0;3240.0;3410.0;4160.0;4700.0;4800.0;3920.0;2540.0;2090.0;1970.0;2110.0;1680.0;1640.0;1870.0;2130.0;2220.0
Benin;BEN;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;90.0;90.0;100.0;110.0;110.0;110.0;110.0;110.0;110.0;110.0;120.0;150.0;180.0;190.0;200.0;220.0;240.0;290.0;370.0;390.0;340.0;270.0;250.0;250.0;260.0;290.0;340.0;320.0;350.0;360.0;350.0;360.0;310.0;340.0;330.0;360.0;350.0;390.0;450.0;510.0;510.0;570.0;690.0;780.0;810.0;870.0;970.0;1020.0;1020.0;1030.0;1050.0;1140.0;1180.0;1100.0;1040.0;1020.0;1120.0;1170.0;1190.0;1280.0;1360.0;1390.0;1430.0
Bermuda;BMU;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105750.0;102930.0;101910.0;104040.0;102450.0;103940.0;105430.0;113460.0;117160.0;116920.0;110960.0;120410.0;132200.0;134500.0;140280.0
Botswana;BWA;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;70.0;80.0;80.0;90.0;100.0;100.0;120.0;150.0;170.0;220.0;280.0;370.0;460.0;540.0;550.0;590.0;670.0;850.0;1060.0;1290.0;1230.0;1110.0;1030.0;1020.0;1100.0;1290.0;1930.0;2270.0;2680.0;3030.0;3230.0;3280.0;2900.0;3200.0;3120.0;3260.0;3150.0;3090.0;3110.0;3190.0;2860.0;3300.0;3830.0;4830.0;5400.0;5620.0;5470.0;4890.0;5370.0;6500.0;6910.0;6950.0;6990.0;6140.0;6060.0;6210.0;6680.0;7520.0;6600.0;7530.0;8250.0;8360.0;7750.0
Burkina Faso;BFA;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;80.0;80.0;80.0;80.0;80.0;90.0;90.0;90.0;90.0;90.0;90.0;110.0;140.0;160.0;170.0;170.0;200.0;250.0;290.0;290.0;280.0;230.0;200.0;200.0;230.0;260.0;310.0;320.0;320.0;340.0;360.0;350.0;270.0;250.0;240.0;250.0;240.0;260.0;260.0;270.0;260.0;310.0;370.0;440.0;470.0;490.0;550.0;590.0;630.0;660.0;710.0;750.0;730.0;680.0;650.0;650.0;730.0;750.0;780.0;830.0;860.0;860.0;880.0
Burundi;BDI;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;70.0;80.0;80.0;70.0;60.0;50.0;50.0;50.0;70.0;70.0;70.0;80.0;90.0;110.0;120.0;140.0;140.0;170.0;200.0;240.0;220.0;210.0;200.0;220.0;230.0;250.0;240.0;220.0;210.0;210.0;200.0;180.0;170.0;150.0;140.0;150.0;150.0;140.0;130.0;130.0;130.0;120.0;120.0;130.0;150.0;160.0;180.0;190.0;200.0;220.0;230.0;240.0;240.0;240.0;240.0;240.0;230.0;220.0;210.0;220.0;230.0;220.0;190.0
Cabo Verde;CPV;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;;;;;;;;;;;;;;;;;;;;;450.0;420.0;400.0;400.0;460.0;580.0;750.0;810.0;810.0;820.0;940.0;1080.0;1190.0;1300.0;1250.0;1260.0;1240.0;1290.0;1330.0;1270.0;1230.0;1440.0;1810.0;2070.0;2200.0;2770.0;3360.0;3650.0;3600.0;3760.0;3730.0;3840.0;3750.0;3620.0;3580.0;3620.0;4040.0;4420.0;3510.0;3870.0;4550.0;4780.0;5000.0
Cameroon;CMR;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;;;;;;120.0;140.0;160.0;160.0;170.0;190.0;220.0;290.0;360.0;340.0;350.0;530.0;650.0;650.0;800.0;790.0;720.0;740.0;800.0;980.0;1150.0;1230.0;1120.0;1000.0;930.0;960.0;990.0;890.0;870.0;770.0;790.0;770.0;760.0;730.0;700.0;700.0;820.0;1030.0;1140.0;1200.0;1250.0;1360.0;1460.0;1450.0;1470.0;1470.0;1530.0;1570.0;1530.0;1470.0;1410.0;1520.0;1560.0;1540.0;1610.0;1660.0;1690.0;1680.0
Central African Republic;CAF;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;70.0;70.0;70.0;80.0;80.0;90.0;90.0;100.0;100.0;100.0;100.0;120.0;140.0;160.0;180.0;210.0;240.0;280.0;320.0;320.0;320.0;260.0;260.0;280.0;340.0;410.0;480.0;480.0;470.0;460.0;460.0;430.0;360.0;340.0;290.0;290.0;270.0;260.0;240.0;240.0;240.0;250.0;290.0;320.0;330.0;360.0;390.0;460.0;500.0;510.0;540.0;360.0;380.0;390.0;400.0;420.0;470.0;500.0;490.0;510.0;520.0;530.0;520.0
Chad;TCD;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;110.0;110.0;110.0;120.0;120.0;130.0;130.0;140.0;140.0;130.0;140.0;160.0;180.0;220.0;220.0;230.0;240.0;220.0;240.0;230.0;210.0;190.0;180.0;210.0;200.0;210.0;270.0;270.0;270.0;290.0;320.0;240.0;220.0;200.0;200.0;210.0;210.0;190.0;180.0;180.0;190.0;210.0;330.0;510.0;630.0;820.0;920.0;1020.0;1150.0;1190.0;1310.0;1310.0;1260.0;1130.0;940.0;830.0;890.0;920.0;890.0;890.0;1000.0;1000.0;970.0
Congo Dem. Rep.;COD;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;230.0;270.0;230.0;230.0;220.0;220.0;220.0;230.0;240.0;270.0;280.0;350.0;430.0;460.0;430.0;460.0;510.0;600.0;640.0;560.0;480.0;410.0;340.0;260.0;250.0;240.0;250.0;240.0;230.0;190.0;200.0;200.0;150.0;140.0;120.0;110.0;110.0;100.0;130.0;130.0;180.0;160.0;180.0;190.0;210.0;240.0;270.0;280.0;300.0;320.0;350.0;380.0;420.0;430.0;440.0;430.0;460.0;490.0;520.0;540.0;590.0;640.0;640.0
Congo Rep.;COG;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;140.0;140.0;150.0;160.0;170.0;180.0;190.0;200.0;210.0;220.0;260.0;320.0;400.0;470.0;460.0;430.0;470.0;590.0;800.0;1070.0;1210.0;1070.0;1060.0;990.0;980.0;1050.0;920.0;940.0;920.0;950.0;1050.0;900.0;750.0;470.0;460.0;590.0;580.0;490.0;560.0;620.0;670.0;690.0;760.0;1100.0;1560.0;1650.0;2090.0;2410.0;2640.0;2580.0;3330.0;3560.0;3800.0;3080.0;2260.0;1740.0;2070.0;2180.0;2230.0;2040.0;2170.0;2450.0;2410.0
Cote d'Ivoire;CIV;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;160.0;180.0;210.0;200.0;220.0;220.0;250.0;270.0;280.0;290.0;300.0;360.0;450.0;560.0;650.0;750.0;920.0;1100.0;1130.0;1110.0;940.0;710.0;650.0;630.0;720.0;800.0;900.0;810.0;760.0;740.0;760.0;720.0;660.0;670.0;510.0;630.0;710.0;680.0;610.0;550.0;530.0;580.0;710.0;850.0;850.0;880.0;1000.0;1080.0;1120.0;1020.0;1140.0;1240.0;1860.0;1880.0;1880.0;1870.0;2010.0;2120.0;2120.0;2300.0;2440.0;2500.0;2510.0
Djibouti;DJI;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2280.0;2370.0;2450.0;2600.0;2780.0;2780.0;2990.0;3310.0;3510.0;3540.0
Egypt Arab Rep.;EGY;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;;;;160.0;170.0;170.0;170.0;190.0;220.0;240.0;260.0;290.0;300.0;330.0;340.0;370.0;380.0;410.0;480.0;510.0;540.0;550.0;620.0;660.0;720.0;840.0;810.0;760.0;730.0;710.0;720.0;720.0;780.0;880.0;970.0;1070.0;1140.0;1240.0;1330.0;1350.0;1250.0;1160.0;1120.0;1130.0;1230.0;1420.0;1710.0;1970.0;2200.0;2380.0;2630.0;2810.0;3000.0;3100.0;3200.0;2880.0;2710.0;2640.0;2960.0;3470.0;4040.0;3840.0;3510.0
Equatorial Guinea;GNQ;GNI per capita, Atlas method (current US$);NY.GNP.PCAP.CD;;;;;;;;;;;;;;;;;;;;;;;110.0;110.0;120.0;140.0;150.0;190.0;220.0;200.0;230.0;230.0;330.0;320.0;230.0;220.0;310.0;760.0;610.0;710.0;660.0;760.0;1050.0;960.0;1370.0;3080.0;6420.0;9200.0;11310.0;9950.0;7920.0;9170.0;11060.0;11220.0;10610.0;8720.0;6660.0;5260.0;5450.0;5130.0;4790.0;4820.0;4570.0;4840.0;4740.0
