Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;0.000361;0.00177;0.00174;0.0103;0.0202;0.2;0.491706;0.646114;1.59164;2.19536;4.63448;5.84394;7.37598;9.45119;10.18;11.23;12.5;14.9;18.2;22.5;29.5;38.2;42.9455;47.6911;49.0385;55.7907;63.4727;72.2124;74.8319;76.9081;
Angola;AGO;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.000776;0.00567;0.0185;0.072;0.105046;0.136014;0.270377;0.370682;0.464815;1.14337;1.5;1.7;1.9;2.3;2.8;4.7;7.7;13.0;21.3623;22.0;23.2;26.0;29.0;32.1294;36.6347;39.3876;42.0719;44.7581;
Benin;BEN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.00169;0.0246;0.0479;0.155;0.225248;0.363418;0.702946;0.951327;1.18254;1.27103;1.53785;1.79;1.85;2.24;3.13;4.14832;4.5;4.9;6.0;11.255;14.5;18.7;19.0;20.5;22.1206;28.2047;30.0134;32.2083;
Bermuda;BMU;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;6.84;16.2;24.2;32.1;39.900000000000006;42.9499;47.5097;52.0316;56.522;60.9909;65.4471;69.8997;74.3506;82.3;83.25;84.21;88.336;91.2993;95.3;96.8;98.3236;98.0;98.37;;;;;;;
Botswana;BWA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;0.0645;0.157;0.308;0.602;1.12;2.90267;3.43089;3.38592;3.34519;3.30489;3.26255;4.28993;5.28;6.25;6.15;6.0;9.0;16.0;30.0;36.7447;37.3121;42.2576;47.8587;54.2022;61.3865;69.523;78.738;80.3696;81.36;
Burkina Faso;BFA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0009609999999999;0.0186999999999999;0.0453999999999999;0.0617999999999999;0.0770802;0.157732;0.200993;0.37344;0.400295;0.469914;0.632708;0.75;0.92;1.13;2.4;3.0;3.72503;5.0;6.0;6.55;7.14;7.79;8.5;9.27181;10.7927;12.5631;14.6238;17.0226;
Burundi;BDI;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0008039999999999;0.00798;0.0157999999999999;0.0392;0.0772484;0.106001;0.118228;0.201273;0.34906;0.542143;0.657593;0.7;0.81;0.9;1.0;1.11;1.22;1.26422;1.04239;2.0;2.2;2.66075;4.0;6.1;9.17302;10.9847;11.0009;11.0784;
Cabo Verde;CPV;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;0.241;0.473;1.16;1.82244;2.68533;3.51876;4.32489;5.31883;6.07409;6.80891;8.28322;14.0;21.0;30.0;32.0;34.74;37.5;40.26;42.683;50.3228;57.1621;59.5;61.9434;69.3734;70.2825;72.7601;73.539;
Cameroon;CMR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;0.00677;0.0132;0.129;0.25212;0.277051;0.360872;0.587623;0.976075;1.40265;2.02874;2.93;3.4;3.84;4.3;5.0;7.5;10.0;16.2149;18.3;20.6;23.203;29.7;36.5392;41.2264;42.0405;41.775;41.9088;
Central African Republic;CAF;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.00585;0.0143;0.0279;0.0409;0.0533942;0.0785434;0.128537;0.151563;0.223401;0.268196;0.311159;0.375816;1.0;1.8;2.0;2.2;2.4;2.5;2.7;2.9;3.1;4.0;5.1;7.50916;;;;;
