Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;40.839;40.792;39.527;43.143;42.987;42.846;42.745;42.731;42.806;42.991;43.328;43.782;44.384;45.102;45.953;46.921;48.034;49.249;50.615;52.409;54.512;57.422;59.594;61.251;62.722;64.155;65.273;66.13;66.91;67.461;67.658;67.692;67.725;67.797;67.284;67.691;68.219;68.859;69.327;70.088;70.576;71.025;71.644;71.906;72.536;72.836;73.116;73.346;73.618;73.871;74.144;74.383;74.609;74.809;74.992;75.159;75.31;75.431;75.555;75.682;73.257;75.208;76.129;76.261;
Angola;AGO;Life expectancy at birth, total (years);SP.DYN.LE00.IN;37.933;36.902;37.168;37.419;37.704;37.968;38.258;38.616;38.968;39.329;39.688;40.076;40.469;40.871;41.26;40.817;40.812;41.215;41.573;41.913;42.242;42.556;42.857;41.972;42.245;42.495;42.739;40.786;41.471;41.698;41.854;43.812;42.267;42.19;43.567;46.139;46.418;46.688;45.452;45.808;46.501;47.032;47.874;50.218;51.123;52.13;52.965;54.2;55.281;56.225;57.242;58.093;58.916;59.705;60.396;61.042;61.619;62.122;62.622;63.051;63.116;62.958;64.246;64.617;
Benin;BEN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;38.775;39.233;39.643;40.081;40.502;40.971;41.274;41.759;42.182;42.591;43.029;43.391;43.928;44.435;44.876;45.405;45.952;46.504;46.941;47.362;47.747;48.122;48.493;48.845;49.399;49.959;50.632;51.258;52.019;52.45;53.02;53.441;54.137;54.612;54.988;55.366;55.648;55.986;56.154;56.336;56.594;56.654;56.851;57.092;57.346;57.738;57.966;58.249;58.099;58.258;58.387;58.462;58.559;58.863;59.008;59.123;59.283;59.528;59.71;59.888;60.154;59.61;60.475;60.774;
Bermuda;BMU;Life expectancy at birth, total (years);SP.DYN.LE00.IN;66.482;67.528;67.884;67.689;67.5;67.582;67.718;67.792;67.898;68.088;68.404;68.98;69.643;70.374;70.864;71.171;71.331;71.616;71.968;72.402;72.666;72.892;73.041;73.24;73.365;73.373;73.368;73.454;73.555;73.733;73.952;74.204;74.446;74.766;75.276;75.92;76.52;76.972;77.389;77.854;78.251;78.637;78.841;78.715;78.898;78.874;78.87;79.006;79.101;79.229;79.414;79.651;79.847;80.016;80.199;80.338;80.476;80.686;80.986;81.251;81.456;81.745;82.062;82.309;
Botswana;BWA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;51.22;51.781;52.313;52.848;53.358;53.853;54.36;54.859;55.372;55.903;56.446;57.062;57.669;58.286;58.914;59.53;60.209;60.867;61.485;62.035;62.527;63.027;63.382;63.605;63.706;63.647;63.363;62.837;61.696;61.189;60.104;58.911;58.19;57.316;55.97;54.713;54.284;53.594;52.968;52.499;52.263;52.21;52.373;52.851;53.573;54.386;55.112;56.735;57.661;58.297;59.137;59.715;60.384;61.217;62.167;63.215;64.32;65.42;66.371;67.167;67.643;63.303;68.749;69.163;
Burkina Faso;BFA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;36.074;36.361;36.753;37.093;37.399;37.758;38.091;38.432;38.76;39.023;39.54;39.853;40.399;40.947;41.711;42.486;43.327;44.167;44.995;45.702;46.465;46.866;47.633;48.061;48.464;48.748;48.987;49.097;49.215;49.27;49.315;49.33;49.378;49.412;49.469;49.554;49.693;49.56;50.163;50.463;50.808;51.188;51.447;51.959;52.6;53.271;53.784;54.377;55.199;55.791;56.343;57.001;57.457;57.903;58.331;58.778;59.173;59.578;59.972;60.184;60.454;60.046;60.7;61.092;
Burundi;BDI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;43.262;43.364;43.492;43.559;43.601;41.844;43.529;43.332;43.405;43.0;43.225;43.172;25.777;37.409;43.337;43.445;43.691;43.97;44.404;45.038;45.731;46.412;47.012;47.433;47.687;47.662;47.402;47.066;42.889;45.745;45.184;44.66;44.469;37.221;44.515;44.589;44.807;45.721;46.678;47.627;47.617;48.509;49.924;50.997;52.217;53.053;53.962;54.832;55.581;56.422;57.088;57.804;58.501;59.179;59.764;60.107;60.789;61.345;61.806;62.18;62.569;62.101;62.882;63.651;
Cabo Verde;CPV;Life expectancy at birth, total (years);SP.DYN.LE00.IN;48.713;49.419;50.239;51.145;52.089;53.04;53.922;54.716;55.426;56.038;56.559;57.027;57.486;57.979;58.432;58.976;59.396;59.986;60.381;60.726;61.031;61.299;61.519;61.767;61.829;62.281;62.584;62.91;63.242;63.566;63.869;64.066;64.253;64.458;64.648;63.691;65.521;66.082;66.714;67.409;68.117;68.707;69.447;70.006;70.499;70.936;71.341;71.487;71.888;72.142;72.507;72.913;73.315;73.481;73.788;74.096;74.35;74.71;74.84;75.449;73.818;74.424;75.907;76.059;
Cameroon;CMR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;34.667;35.186;42.599;43.074;43.596;44.175;44.839;45.602;46.389;47.191;47.954;48.577;49.12;49.517;49.734;49.891;50.017;50.13;50.319;50.535;50.852;51.227;51.801;52.447;52.886;53.465;53.572;54.188;54.359;54.389;54.348;54.168;54.053;53.872;53.537;53.347;53.2;53.105;53.043;53.166;53.338;53.598;53.922;54.253;54.578;54.904;55.301;55.71;56.116;56.486;56.965;57.482;58.17;58.73;59.13;59.687;60.293;60.817;61.189;61.695;61.674;61.146;62.443;63.7;
Central African Republic;CAF;Life expectancy at birth, total (years);SP.DYN.LE00.IN;39.572;40.056;40.562;41.09;41.64;42.207;42.787;43.379;43.98;44.58;45.176;45.764;46.332;46.884;47.405;47.892;48.355;48.778;49.161;49.5;49.789;50.028;50.213;50.342;50.427;50.463;50.445;50.371;50.243;50.074;49.854;49.575;49.213;48.899;48.509;48.109;47.7;47.284;47.089;46.91;46.609;46.734;46.84;47.306;47.696;48.207;48.687;49.327;49.873;14.665;46.871;50.107;51.336;49.487;40.265;51.934;50.999;45.231;52.297;31.53;50.596;40.279;18.818;57.408;
