Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.6300010681152;;;;;;;;;;;;;;;69.870002746582;;;;72.6500015258789;;75.1399993896484;;;;;;;;;;;;;;;;
Angola;AGO;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67.4100036621094;;;;;;;;;;;;;66.0299987792969;66.2399978637695;;;;;;;;;
Benin;BEN;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;16.4799995422363;;;;;;;;;;;;;27.25;;;;;;;;;;34.6599998474121;;;;;;;;;44.6748575499254;;45.0800018310547;;;;38.8699989318848;;49.0;;43.8300018310547;51.3800010681152;;
Bermuda;BMU;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;BWA;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68.5800018310547;;;;;;;;;;;;81.1900024414062;;;;;;;;;;;;;;;;;;;;;
Burkina Faso;BFA;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;8.82999992370605;;;;;;;;;;;;;;;;13.5699996948242;;;;;12.8500003814697;;;;;;;21.8199996948242;;23.5200004577637;22.4699993133545;27.8799991607666;;;;;;;34.5999984741211;;;;39.3499984741211;29.6599998474121;;36.9700012207031;40.9199981689453;41.442033530681;
Burundi;BDI;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;22.5100002288818;;;;;;;;;;;37.3800010681152;;;;;;;;;;59.2999992370605;;;;;;;;48.0800018310547;;;;;;61.2900009155273;;65.6900024414062;68.379997253418;;;71.4078166079164;;;;
Cabo Verde;CPV;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62.7999992370605;;;;;;;;;;;;;;;;;;;82.2123790224733;;;85.3300018310547;;;86.7900009155273;;;;;;;;;88.4700012207031
Cameroon;CMR;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;41.2200012207031;;;;;;;;;;;;;;;;;;;;;;;;68.4100036621094;;;;;;;70.6800003051758;;;71.1900024414062;;;;;;;;72.5500030517578;;;;;;
Central African Republic;CAF;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;18.2399997711182;;;;;;;;;;;;;33.6199989318848;;;;;;;;;;;;50.6500015258789;;;;;;;;;;;;;;;;;;;42.439998626709;;;;;
Chad;TCD;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.8900003433228;;;;;;;25.6499996185303;;;;28.3799991607666;;;;;;;;;;;;22.3099994659424;;;30.6299991607666;;;;;
Congo Dem. Rep.;COD;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67.1699981689453;;;;;;;;;;;75.0199966430664;;;;77.0400009155273;;73.5500030517578;;65.6914486099044;;;;
Congo Rep.;COG;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;59.6199989318848;;;;;;;;;;;;;;;;;;;;;76.1100006103516;;;;;;;;;;;;;;;;;;;
Cote d'Ivoire;CIV;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.1399993896484;;;;;;;;;;36.3499984741211;;48.7400016784668;;;;;;;;;;;;;;43.9099998474121;;50.0400009155273;;;56.9804529419494;;50.0;;;
Djibouti;DJI;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt Arab Rep.;EGY;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;38.2000007629395;;;;;;;;;;44.4199981689453;;;;;;;;;;55.5900001525879;;;;;;;;;67.3300018310547;66.370002746582;;;;72.0500030517578;;73.870002746582;72.4400024414062;;;;71.1699981689453;;;;82.083331279425;79.4565788949049;;
Equatorial Guinea;GNQ;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88.3099975585938;;;;;;;;;;;;;;;;;;;;;;;;
Eritrea;ERI;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5099983215332;;;;;;64.6600036621094;;;;;;;;;;;;;;;;
Eswatini;SWZ;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;55.3300018310547;;;;;;;;;;67.2399978637695;;;;;;;;;;;;;;81.6600036621094;;;;;;;;;;;;;;;;;;;;;;90.75;;
Ethiopia;ETH;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.0100002288818;;;;;;;;;;35.9000015258789;;;39.0;;;;;;48.3512310895047;;;47.4900016784668;;;55.0499992370605;;54.8861260079206;60.4599990844727;;
Gabon;GAB;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72.2300033569336;;;;;;;;;;;;;;;;;;;;;;;;;;;;88.8600006103516;;;
The Gambia;GMB;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.8199996948242;;;;;;;;;;;;;;;50.7799987792969;;;53.1599998474121;;;51.6399993896484;;;
Ghana;GHA;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.9000015258789;;;;;;;;;;71.5;;;;;60.2198906165104;;64.4899978637695;;;;76.4899978637695;;;
Gibraltar;GIB;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;GIN;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.5499992370606;;;;;;;29.7000007629394;;;;;;;25.3099994659424;;;;32.0;;;;39.6199989318848;;;;;;
Guinea-Bissau;GNB;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;19.9599990844727;;;;;;;;;;;;;;;;;;;;;41.3600006103516;;;;;;;;;;;;;;;;;;;54.8800010681152;;;63.9300003051758;;
Kenya;KEN;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82.2300033569336;;;;;;;;;;;;;;;;;;;;;;;;
Lesotho;LSO;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86.25;;;;;;66.0999984741211;;;;;;;;;;97.2699966430664;;86.2399978637695;92.4974361965842;;;;;90.4499969482422
Liberia;LBR;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;32.1100006103516;;;;;;;;;;;;;;;;;;;;;;;;;;59.4035765513495;;;;;;;;;;;;;;
Libya;LBY;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;60.1599998474121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madagascar;MDG;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70.6900024414062;;;;;;;;;;;;71.5699996948242;;;;;;76.6800003051758;;;74.6900024414062;;;
Malawi;MWI;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.5400009155273;;;;;;;;;;;64.129997253418;;;;;;;;;;;;;;;;;;;72.848752416256;76.7200012207031;;70.1500015258789;;;;
Mali;MLI;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;9.43000030517578;;;;;;;;;;;;;;;;;;;;;;19.0400009155273;;;;;24.0;;;26.1800003051758;;;;31.1000003814697;30.6200008392334;;;;33.0699996948242;;;35.4700012207031;;;;;;
Mauritania;MRT;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.2099990844727;;;;;;;;;;;;;62.0699996948242;;65.1100006103516;;;;;59.5299987792969;;;;
Morocco;MAR;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;30.2600002288818;;;;;;;;;;;;41.5900001525879;;;;;;;;;;52.310001373291;;;;55.1500015258789;56.0800018310547;;67.0800018310547;69.1600036621094;;64.2600021362305;;;;;;;;;;
Mozambique;MOZ;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;27.0;;;;;;;;;;;;;;;;;38.7099990844727;;;;;;48.1599998474121;;;;;;50.5800018310547;;;;;;56.0400009155273;;60.6599998474121;;;59.7799987792969;;61.6778205151772;;
Namibia;NAM;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75.8199996948242;;;;;;;;;;84.9400024414062;;;;;;;;;;88.2699966430664;;;;;88.2018591728156;;88.3295050309237;;;;;87.6399993896484;
Niger;NER;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.3800001144409;;;;28.6700000762939;;;;;;;30.5599994659424;;28.9700293064531;;;;33.0499992370605;;;;35.6100006103516;;
Nigeria;NGA;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.4500007629395;;;;;;;;;;;;54.7700004577637;;;70.1999969482422;;;;;;;;;;58.2200012207031;;;;;63.1599998474121;;;70.4100036621094
Rwanda;RWA;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;38.2400016784668;;;;;;;;;;;;;57.8499984741211;;;;;;;;;64.8899993896484;;;;;;;;;;;;68.3300018310547;;70.8000030517578;;;;73.2200012207031;;80.0500030517578;;78.7600021362305;;
Sao Tome and Principe;STP;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;57.3199996948242;;;;;;;;;;73.2399978637695;;;;;;;;;;84.9100036621094;;;;;;;;;;;90.1399993896484;;;;;;;87.4400024414062;;;;;
Senegal;SEN;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.8700008392334;;;;;;;;;;;;;;39.2799987792969;;;;41.8899993896484;;;48.0400009155273;;51.810001373291;;43.5299987792969;;43.5900001525879;46.0999984741211;51.9000015258789;46.6100006103516;46.8300018310547;;;;50.3600006103516;
Sierra Leone;SLE;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.8300018310547;;;;;;;;;;44.3441779768036;49.4000015258789;;44.8300018310547;48.8216576787275;43.5800018310547;;;;;
Somalia Fed. Rep.;SOM;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63.6841427350076;;;54.1199989318848;;
South Africa;ZAF;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;76.1999969482422;;;;;;;;;;;;;;;;82.4000015258789;;;;;;;;;;;88.7200012207031;;92.8899993896484;92.879997253418;93.0999984741211;93.7300033569336;;94.1399993896484;94.370002746582;91.7399978637695;;;95.0199966430664;;90.0;;;91.1500015258789
South Sudan;SSD;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.8299999237061;;;;;;;;;;;;;;;;
Sudan;SDN;Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61.3499984741211;;;;;;;;53.5200004577637;;;;;;;;;;;;;;;;
