Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;161.8;161.4;161.6;161.9;162.2;162.8;163.2;163.2;162.7;161.5;159.5;156.7;153.1;149.0;144.3;139.3;134.0;128.4;122.6;115.8;107.7;98.1;86.9;75.1;64.3;55.5;48.9;44.4;41.8;40.4;39.8;39.6;39.6;39.5;39.2;38.8;38.2;37.4;36.6;35.7;34.7;33.6;32.4;31.3;30.1;29.0;27.9;26.9;25.9;25.1;24.4;23.8;23.2;22.7;22.3;21.9;21.6;21.3;21.0;20.7;20.4;20.2;20.0;19.7;
Angola;AGO;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;;;;;;;;;;;;;;;;;;;;;127.6;126.4;125.4;124.2;123.4;122.8;122.4;122.1;121.9;122.0;122.3;122.5;122.9;123.1;123.3;123.2;122.6;121.5;119.8;117.6;115.0;111.9;108.1;104.0;99.3;94.4;89.1;83.8;78.7;73.7;68.9;64.4;60.4;56.7;53.6;51.1;48.9;47.0;45.3;43.8;42.3;40.9;39.6;38.3;
Benin;BEN;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;161.4;159.4;157.1;154.6;152.0;149.5;147.0;144.6;142.4;140.3;138.2;136.2;133.9;131.6;129.2;126.8;124.2;121.7;119.4;117.2;115.2;113.3;111.6;110.0;108.3;106.7;105.0;103.3;101.6;99.8;97.9;96.0;94.0;92.0;90.1;88.3;86.6;84.9;83.2;81.4;79.7;77.8;76.0;74.2;72.5;70.9;69.3;67.9;66.4;65.1;63.7;62.4;61.0;59.7;58.3;57.0;55.7;54.4;53.1;51.8;50.4;49.1;47.7;46.4;
Bermuda;BMU;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;BWA;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;117.6;115.1;112.8;110.6;108.3;106.1;103.9;101.7;99.5;97.1;94.6;91.7;88.7;85.6;82.3;78.7;74.8;70.9;67.1;63.5;60.3;57.1;54.2;51.5;49.1;46.5;44.1;42.0;40.2;39.2;38.9;39.3;40.3;41.5;42.6;41.3;41.5;41.6;41.7;42.4;42.5;42.3;42.4;43.3;44.5;43.0;43.8;47.1;49.0;49.3;50.5;52.0;48.8;47.6;48.4;47.2;46.7;44.3;43.2;42.3;41.5;40.3;39.2;38.2;
Burkina Faso;BFA;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;171.4;170.0;168.6;167.5;166.3;165.4;164.4;163.5;162.8;162.0;160.9;159.7;157.6;154.6;150.7;146.0;140.8;135.8;131.2;127.2;123.8;121.0;118.5;116.1;113.8;111.5;109.1;106.9;105.0;103.7;102.9;102.5;102.3;102.0;101.4;100.6;99.2;97.7;96.0;94.2;92.4;90.5;88.3;85.9;83.2;80.3;77.1;73.9;71.0;68.2;65.7;63.5;61.6;59.8;58.0;56.3;54.7;53.1;51.6;50.2;48.7;47.3;46.1;44.8;
Burundi;BDI;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;;;;;;114.0;115.3;116.7;117.9;118.9;119.7;120.3;136.4;121.5;122.0;122.3;122.2;121.3;119.4;116.5;112.8;108.5;103.8;99.3;95.4;92.5;90.8;90.2;90.5;91.5;92.6;93.9;95.1;100.9;96.3;96.3;95.8;94.7;93.0;91.0;88.6;86.1;83.3;80.4;77.1;73.4;69.5;65.6;61.8;58.3;55.0;51.9;49.0;46.3;44.0;41.8;40.0;38.4;37.0;35.6;34.5;33.4;32.4;31.5;
Cabo Verde;CPV;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;112.3;110.6;108.7;106.8;104.6;102.2;99.4;96.6;93.3;89.8;85.9;81.9;77.8;73.7;69.8;66.1;62.9;60.1;57.8;56.2;55.2;54.7;54.6;54.4;53.8;52.6;50.7;48.3;45.8;43.6;42.1;41.3;41.3;41.7;42.0;41.8;40.6;38.4;35.5;32.3;29.4;27.0;25.3;24.3;23.9;23.9;24.1;24.3;24.4;24.3;23.8;22.9;21.8;20.5;19.0;17.6;16.2;15.0;14.0;13.2;12.5;12.0;11.5;11.0;
Cameroon;CMR;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;175.8;170.7;166.3;162.5;158.6;154.3;149.6;144.3;138.6;132.9;127.5;122.9;119.3;116.8;115.1;114.2;113.5;112.6;111.4;109.5;107.1;104.0;100.3;96.4;92.5;88.9;85.7;83.3;81.6;80.8;80.8;81.6;82.7;83.9;85.0;85.8;86.2;86.1;85.5;84.4;82.8;80.9;78.8;76.9;74.9;73.3;71.3;69.7;67.9;66.3;63.9;62.0;59.8;57.4;55.4;53.2;51.6;49.7;48.1;46.8;45.3;43.8;42.5;41.2;
Central African Republic;CAF;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;158.2;155.9;153.5;151.0;148.4;145.6;142.9;140.0;137.2;134.4;131.9;129.5;127.3;125.1;122.9;121.0;119.3;117.6;116.2;114.7;113.5;112.5;111.8;111.2;110.7;110.4;110.2;110.0;109.7;109.4;109.0;108.5;107.9;107.1;106.3;105.6;104.7;103.6;102.5;101.2;99.8;98.3;96.5;94.7;92.6;90.5;87.8;85.6;83.6;234.9;88.1;78.1;76.5;81.0;100.2;72.4;77.0;87.4;74.0;124.3;74.5;93.6;189.1;60.4;
Chad;TCD;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;142.0;141.7;141.4;141.0;140.4;140.0;139.4;138.9;138.3;137.6;137.2;136.5;136.0;135.3;134.7;133.9;133.3;132.7;131.9;131.1;130.1;129.1;127.8;126.6;125.2;123.8;122.4;120.9;119.4;117.8;116.2;114.7;113.3;111.9;110.6;109.4;108.1;106.8;105.3;103.7;102.0;100.3;98.5;96.6;94.8;93.0;91.0;89.0;87.0;84.9;82.8;80.7;78.6;76.6;74.8;72.8;71.0;69.2;67.4;65.5;63.6;61.9;60.3;58.7;
Congo Dem. Rep.;COD;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;;;;;;;;;;129.1;127.5;126.2;125.1;123.9;122.6;121.1;119.7;118.3;116.7;115.2;113.7;112.2;110.9;109.6;108.5;107.4;106.4;105.4;104.4;103.4;102.4;101.4;100.6;99.8;99.1;98.3;97.5;96.4;95.0;93.3;91.2;89.0;86.5;84.0;81.3;78.6;75.9;73.3;70.7;68.3;65.9;63.8;61.8;59.9;58.0;56.2;54.5;52.9;51.3;49.8;48.4;47.1;45.8;44.5;
Congo Rep.;COG;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;95.2;92.7;90.3;88.0;85.7;83.6;81.6;79.7;78.0;76.3;74.7;73.3;71.9;70.6;69.6;68.5;67.5;66.4;65.4;64.3;63.3;62.1;61.0;59.9;58.6;57.5;56.6;56.1;56.0;56.3;57.2;58.4;60.1;62.2;64.4;66.9;69.4;71.7;73.3;73.9;73.3;71.5;68.6;64.8;60.6;56.3;52.1;48.4;45.3;42.9;41.0;39.5;38.3;37.2;36.1;35.0;33.9;32.9;32.0;33.0;30.2;29.3;28.5;27.6;
Cote d'Ivoire;CIV;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;208.3;203.2;198.1;193.0;188.1;183.6;178.9;174.3;169.7;165.2;160.7;155.8;150.5;145.1;139.4;133.6;128.2;123.2;118.6;114.8;111.6;108.7;106.4;104.6;103.1;102.1;101.4;100.9;100.5;100.8;100.6;100.5;100.2;99.7;99.2;98.4;97.6;96.3;94.9;93.2;91.4;89.4;87.3;85.1;82.8;80.2;78.1;75.6;73.0;70.9;68.8;67.0;64.9;62.8;60.8;59.0;57.4;55.8;54.1;52.3;50.9;49.2;47.9;46.6;
Djibouti;DJI;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;;;;;;;;;;;;;;;;;;;108.1;106.2;104.6;102.8;100.8;99.0;97.2;95.3;93.6;92.1;90.6;89.3;88.2;87.2;86.5;85.9;85.5;85.0;84.5;83.9;83.1;82.0;80.9;79.5;78.0;76.4;74.9;73.3;71.6;69.9;68.1;66.6;64.9;63.3;61.6;59.9;58.3;56.6;55.1;53.5;52.0;50.4;48.8;47.3;45.9;44.4;
Egypt Arab Rep.;EGY;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;168.7;164.8;161.0;157.3;153.9;151.1;149.2;147.8;147.2;147.1;147.3;147.3;147.0;145.9;143.8;140.8;137.0;132.7;128.1;123.4;118.4;113.2;107.7;101.7;95.3;89.0;83.1;78.1;73.8;70.3;67.3;64.5;61.8;59.0;56.0;52.9;49.9;47.0;44.3;41.8;39.6;37.5;35.7;34.0;32.6;31.2;30.0;28.8;27.7;26.7;25.6;24.6;23.7;22.8;22.0;21.2;20.5;19.8;19.1;18.4;17.8;17.2;16.7;16.1;
Equatorial Guinea;GNQ;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;;;;;;;;;;;;;;;;;;;;;;;129.1;127.0;124.8;122.9;121.3;120.3;119.5;119.0;118.5;118.1;117.7;117.2;116.7;115.9;114.8;113.5;111.6;109.2;106.5;103.4;100.4;97.2;93.9;90.6;87.3;84.1;80.8;77.9;75.1;72.4;69.9;67.6;65.5;63.4;61.3;59.4;57.7;56.1;54.3;52.6;50.9;49.1;
Eritrea;ERI;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;;;;;;;;;;;;;;;;118.4;95.8;94.6;93.6;92.9;92.3;91.7;91.0;143.5;141.4;136.5;134.3;86.5;84.7;82.7;80.3;77.4;74.2;70.8;67.2;63.7;60.5;57.6;55.0;60.2;50.8;49.0;47.5;46.0;44.6;43.3;42.1;40.9;39.8;38.6;37.5;36.5;35.5;34.4;33.4;32.4;31.4;30.6;29.6;28.7;27.9;27.2;26.4;25.5;
Eswatini;SWZ;Mortality rate, infant (per 1,000 live births);SP.DYN.IMRT.IN;135.4;134.0;132.6;131.0;129.4;127.6;125.7;123.6;121.4;119.3;116.8;114.1;111.2;108.1;104.8;101.3;97.9;94.4;91.0;87.6;84.3;80.9;77.5;80.1;70.6;67.4;64.5;61.8;59.5;57.8;56.6;56.3;57.0;58.6;60.5;62.6;65.4;67.7;69.7;71.5;73.0;74.3;75.2;75.9;75.7;74.7;65.6;66.3;68.5;65.5;62.0;57.8;58.0;57.4;57.9;54.9;52.0;51.5;48.5;48.2;47.1;45.8;44.6;43.5;
