Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;;;67.87061;71.78052;74.18978;76.1599;77.72608;78.77859;78.87035;79.98721;80.25392;79.92768;79.26301;80.29434;80.65069;81.81824;83.14107;84.25691;85.33525;85.87007;87.60795;88.70739;88.22298;88.16877;88.39232;87.9189;87.36391;;88.62222;89.39816;91.25702;92.17384;92.40589;92.86403;93.09766;93.20169;95.24939;96.36304;97.44184;97.23353;97.5945;97.31376;;;97.54838;97.5908;97.5883;97.63517;;;;;;
Angola;AGO;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;;;;;;;;;;;;45.19862;42.53922;;;;;;;;;;;;;;;45.34669;;;;;;;;;;75.37373;74.65254;75.80242;78.02393;;;;;;;;;;;;;
Benin;BEN;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;;;;;;;;;;;;;;50.10471;50.83997;48.90028;;48.44376;48.92716;39.50607;;49.21298;53.21355;54.48041;56.8919;59.11845;62.47886;;;;;;83.4165;86.69745;81.92453;84.66898;;90.1357;94.2321;94.92278;94.8091;95.50633;;96.36058;;;97.03352;97.21103;;;;;;
Bermuda;BMU;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;;;;;;;;79.41537;77.38169;;;;;86.69732;88.72524;;;;;;;;;;;;;;;;;;;;96.99323;;;;;;93.46006;92.71386;;;;;;;;;;;;
Botswana;BWA;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;48.97655;45.47383;46.83257;49.92005;54.27965;61.02754;65.59571;69.79238;70.47779;71.93308;76.10508;80.6789;;85.62017;86.37615;88.6703;89.85557;90.76857;91.24606;91.89309;91.56383;93.73882;93.09434;92.69135;92.66993;83.12641;83.61821;;84.55472;85.06617;85.93266;87.25764;87.32834;87.47464;88.40905;87.65819;88.6352;87.27144;85.99029;85.5554;;;87.75564;88.02718;87.65678;;;;;;;;;;
Burkina Faso;BFA;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;10.0546;10.48779;;;;;12.55795;13.02682;13.5189;14.30845;15.32438;16.8141;18.08002;19.42905;21.48462;23.48546;25.13819;25.62197;25.91472;;27.18227;27.70352;28.68706;29.91303;31.53515;;;34.98034;35.48973;36.33372;37.26342;36.72142;38.65198;41.14892;45.7476;48.74733;54.03414;59.9701;62.7928;59.91302;64.89106;65.68288;66.59063;67.7983;69.38962;75.20863;76.42387;78.64517;;;;;;
Burundi;BDI;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;;;18.59082;;;;;17.14554;;18.70052;20.57046;23.85651;29.98929;34.70884;38.96946;41.46913;46.5633;49.16317;;;;;49.06123;;;;;;;41.29739;50.13475;49.38625;52.81008;54.41122;57.65405;74.35688;81.83963;92.38812;90.49009;95.37413;;;;;;;94.87551;92.8047;;;;;;
Cabo Verde;CPV;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;;;;;;;;;;;89.59942;88.15434;85.11353;91.68477;94.56526;95.87482;97.08417;99.55368;;99.20278;;;;99.14782;;;;99.82899;;99.05232;97.28274;95.91699;95.57941;94.56666;95.31446;96.31027;96.65032;96.15012;95.43499;94.47048;93.2143;93.65455;93.09431;93.20062;93.24357;92.59373;92.86236;93.42191;;;;;;
Cameroon;CMR;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;64.2588;63.21244;61.48078;59.38192;65.97186;67.44146;66.16026;67.51747;68.46152;68.67653;;;;;;;;74.10155;;73.17901;71.2428;;;;;;;;;;;;;;;;;83.07519;85.56531;;88.72421;91.38752;;91.7001;92.07438;94.493;92.87395;;;;;;;
Central African Republic;CAF;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;50.21698;52.78938;55.08126;;;;51.47923;51.41989;;;56.61351;58.42162;60.29616;;;63.54782;52.83386;50.48016;50.49021;59.56512;54.79732;;;;;;;;;;;;;;47.50865;47.71847;55.57831;63.99067;64.03461;65.95599;63.8246;66.29549;;;;;;;;;;;;
Chad;TCD;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;;;;;24.17626;;24.70997;;;;;;;;;;;33.31495;;;;;;;;37.29169;42.63793;47.74362;49.66303;51.30694;52.50412;55.89137;57.40992;;;;;;;;61.66744;;78.09266;;79.09656;73.15289;;;;;;;;
Congo Dem. Rep.;COD;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;69.31444;67.56063;;;70.22047;;;;73.19495;;;;75.68216;76.29949;;;;64.55159;;;61.43332;59.74284;58.69954;59.8877;67.86944;;;;36.80411;;;;;;;;;;;;;;;;;;;;;;;;;
Congo Rep.;COG;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;;82.75873;;89.02264;;91.71364;;95.16705;95.42693;87.30894;86.29629;86.91915;87.41115;88.67924;;;;;;;;;;;;;;;;;;;;;51.82475;55.27637;;;;86.245;;87.88284;;;;;;;;;;;;
Cote d'Ivoire;CIV;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;;;;;;;50.85929;;;;;;;;;;;;;;49.10346;49.3883;;;;54.68437;55.69958;;56.60624;55.6689;59.62325;59.60988;56.0829;;;;;;55.83834;;;;66.9161;72.34108;76.73595;83.16992;85.57232;90.32837;;;;;;
Djibouti;DJI;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;25.13891;26.71036;26.89379;26.77046;26.73386;27.19719;27.2619;28.46114;26.21071;27.08583;28.14266;28.11271;27.03833;;26.73226;26.89352;29.47871;31.0222;;34.67098;36.13749;39.33961;42.162;48.01862;47.87648;;58.16695;;58.87689;61.38047;60.7187;57.24558;59.96016;61.80335;66.48037;;;;;
Egypt Arab Rep.;EGY;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;65.011;65.41723;65.24742;;;;;66.92664;;;;;;;;;;;;;;;;87.3875;;;89.25208;;87.03368;86.64983;87.37485;88.29474;89.50439;90.66548;89.13222;88.2461;92.40917;;93.55801;95.94726;93.51389;98.53698;;98.0269;;97.45606;97.02531;97.03257;;;;;;
Equatorial Guinea;GNQ;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63.93221;;;;;;65.18929;71.8899;69.78217;65.84711;;;;;47.10148;45.87645;45.07741;45.20342;46.47964;;;43.48324;;;;;;;;;
Eritrea;ERI;School enrollment, primary (% net);SE.PRM.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.11171;;32.91022;34.33193;36.58888;37.35682;;45.23594;52.87175;55.98924;64.29436;72.44337;77.97488;82.46788;83.71832;77.29299;72.48675;67.39935;62.77906;65.78386;67.71657;64.40639;63.25635;59.76386;;51.75237;51.45515;;;;;;
