Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;9.76547;;;;;;;;;;;;;38.9646;;;;;;;;;;;52.54394;53.0662;52.9321;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;4.46014;;;;;;;;;;7.16385;;;;;;;;;;;;;;;;;;;;;;;;;;9.15376;9.63002;11.29064;;;;;;;;;;;;;;
Benin;BEN;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.4436;18.88049;;;;;;;;;;;;43.42783;;46.58049;;;;;;;;;
Bermuda;BMU;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;62.85371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58.19615;72.76762;;;;;;;;;;;;;
Botswana;BWA;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;6.88741;7.63231;8.96617;9.98217;11.44689;12.7657;13.74645;13.58212;13.5333;15.32198;16.58011;;;19.96255;22.74431;24.168;;;28.63336;31.77361;39.68134;40.16109;43.78824;43.10613;43.08806;;;62.07418;56.64096;59.25608;;58.0914;59.78544;;;;;;;;;;;;;;;;;;;;;
Burkina Faso;BFA;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;2.46756;;2.99355;3.50964;;;5.27344;;;6.67478;6.8609;6.86524;;;;;8.63831;;7.98013;;9.48721;10.55512;11.39514;12.2104;12.92052;14.773;15.822;16.48295;18.46052;19.74492;21.66185;;26.53378;28.10485;29.14227;31.00148;;;;;;
Burundi;BDI;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;2.05251;2.07995;;;2.15232;;2.51639;2.3506;2.42699;2.633;2.84889;3.14835;;;;;;5.05246;;;;;;;;;;;;;;;;13.09097;15.17589;16.88675;18.42151;21.40103;25.95054;28.89895;32.18514;28.30495;27.52277;;;;;;
Cabo Verde;CPV;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.57087;;;;;;;24.11817;;;;;;;;57.2428;57.62792;57.0896;60.3446;60.58402;62.50202;;65.28223;65.4943;;69.36106;70.65632;71.03095;71.74531;71.59851;71.43748;70.42826;;;;;;
Cameroon;CMR;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;6.86515;7.65745;8.48205;9.10231;10.14336;11.10677;12.03692;13.14179;13.7882;14.2977;15.14787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.66006;41.01904;43.96082;45.01617;45.99349;;;;;;;;
Central African Republic;CAF;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;3.98638;4.76289;5.36927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.45646;;13.81829;13.61317;;;;;12.71989;;;;;;;
Chad;TCD;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.1114;6.99402;7.24649;8.40238;9.58813;10.5173;;;;;;;;;;;;18.44135;18.8551;;;;;;;;
Congo Dem. Rep.;COD;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.48841;17.6214;18.30653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo Rep.;COG;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;17.23066;;28.10853;;36.2393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cote d'Ivoire;CIV;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.17366;;34.6828;37.99436;40.19814;;;;;;
Djibouti;DJI;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;9.0938;9.36461;9.96238;9.3606;;;;;;;;;11.44128;;;;14.17161;14.7086;;19.26153;21.2435;;;26.46648;;;;;;;37.8168;;;;;;;;;
Egypt Arab Rep.;EGY;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;26.38686;26.14083;28.90658;28.74886;;;;;;;;;;;;;;;;;;;;64.5053;;;;;;;;;;;;;;;;;;;;76.81479;;80.74153;81.65996;82.77635;;;;;;
Equatorial Guinea;GNQ;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.65151;;18.12672;;;;20.36275;;;;;;;;;;;;;;;;;;;
Eritrea;ERI;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.98817;17.20103;;20.0927;;24.90625;27.63756;26.97164;27.3134;27.76501;29.89231;32.07118;34.31103;35.72305;38.30874;42.17554;46.63161;48.75162;51.39255;48.24244;48.19877;42.78074;;40.69051;41.57501;;;;;;
Eswatini;SWZ;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;11.21915;11.54199;12.99253;;17.29354;19.28111;20.54427;22.24896;;;;;;;;;;;;;;;;;;;;;34.65212;32.85493;31.12904;32.32801;33.73414;32.95422;37.26517;35.74311;31.48725;32.8932;;36.179;37.06153;39.58057;40.13429;39.00495;40.49563;41.69996;;;;;;;;;
Ethiopia;ETH;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.96812;12.48979;13.21767;15.0676;;;;;;;;;;;;30.09293;30.8138;;;;;;;;;
Gabon;GAB;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Gambia;GMB;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;7.60565;7.49428;;;;12.23244;14.03888;14.78404;14.63149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ghana;GHA;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.73723;32.14966;30.42478;31.88805;32.85822;;36.65545;38.06956;43.33563;44.01556;42.53878;;;;52.66323;52.13977;55.58338;55.43891;55.4414;58.2609;57.24406;;;;;
Gibraltar;GIB;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89.36282;93.83962;;;;;;;
Guinea;GIN;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;7.97311;;;6.55104;6.24106;;;;;;;;;12.00841;;16.0888;18.04796;19.20104;20.36491;23.22898;25.549;;;;;30.02945;;;32.20633;;;;;;;;;;
Guinea-Bissau;GNB;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;2.69955;3.50441;;3.56842;;;;;;;;;;;;;;;;8.55698;;;;;;;;;;;;;;;;;;;;;;;;
Kenya;KEN;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.8737;;34.25671;35.80986;38.54144;40.25251;41.16133;43.23433;47.81761;47.42096;;;;;;;;;;;;;;;
Lesotho;LSO;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;4.50091;;6.61697;;;;9.66879;9.54373;11.40432;11.89129;12.29596;12.82625;11.39326;11.53595;11.86896;12.18406;;;;;13.60304;15.27388;15.98705;14.91292;;16.46014;;12.3668;16.21034;17.97381;20.04806;20.91766;21.89832;23.20564;25.0859;25.8478;27.23189;29.59115;32.39088;36.12128;38.96832;40.16248;40.63024;40.64296;41.85947;41.35206;;;;;;;;
Liberia;LBR;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.961;15.69147;;;;;;;;;
Libya;LBY;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;13.22033;15.95872;20.68498;28.01731;33.17223;41.50767;45.90826;52.13122;55.45254;57.72015;55.33849;;58.4499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madagascar;MDG;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.29953;;21.80847;23.29579;24.93753;;29.93668;30.99363;;31.01487;30.28786;30.14792;29.12022;29.84739;;;;;;
Malawi;MWI;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.12398;29.88415;30.67589;27.60185;26.56347;;24.15185;23.44309;24.89945;25.15857;27.30239;27.73351;29.12365;30.06088;30.4559;32.74037;33.54261;34.24597;32.95718;;34.23885;;;;;;
Mali;MLI;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;3.57855;3.61288;4.00769;3.95896;;;;;;;;;;;;;;;;;5.54052;;;;;;;;;;;;;;;;;27.69524;28.78149;30.67392;31.98852;;33.11983;35.01947;31.36945;32.53744;29.34611;29.92706;;;;;;
Mauritania;MRT;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.53068;13.61746;;13.08816;14.25672;14.52714;;;;;;22.44263;22.0598;23.70334;24.98002;27.46113;28.18691;30.97658;;;;;;
Morocco;MAR;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.1431;42.48918;45.26555;47.38257;;51.01615;53.84359;56.69899;;;;;63.46699;64.4924;;;;;;
Mozambique;MOZ;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.54573;6.5713;6.37535;6.63792;;;;2.76722;3.27968;3.51725;4.36667;;4.13627;7.07607;8.96287;10.58298;12.21686;14.57866;15.97046;17.0661;17.45519;19.89826;20.22234;19.27829;;;;;;;;;
Namibia;NAM;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.60074;;;35.75238;38.64322;42.15857;44.03571;49.63457;46.72934;48.01554;49.94275;50.48431;52.04122;;;;;;;;;;;;;;;;;
Niger;NER;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;1.39895;;1.68804;2.11378;2.53561;3.06804;;3.50079;;;;;;;;;5.36037;5.78795;;;;;;5.4615;;5.38559;;5.28282;5.50642;6.13784;7.51201;8.52719;;8.86268;9.46457;9.59377;10.86772;11.53509;;;15.15304;16.63379;;20.06691;;;;;;;
Nigeria;NGA;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rwanda;RWA;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.1042;28.13633;;35.87144;;;;;;
Sao Tome and Principe;STP;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.42545;;;;;;;;;;;;;;;26.07338;25.34772;30.8018;;32.13773;31.39787;32.56531;34.9313;46.62194;;53.83322;62.8682;65.23344;;;;;;;;;
Senegal;SEN;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.99612;19.81839;20.83433;;;;;;;;;;;37.66861;;;;;;;
Sierra Leone;SLE;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.40844;;32.50901;;38.33144;41.76675;;;;;;
Somalia Fed. Rep.;SOM;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;0.09823;0.13046;0.22969;0.21503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Africa;ZAF;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.186;;;;;59.62755;58.85436;59.68998;61.81554;63.53457;65.07833;66.15872;;;;;;;;;;90.54401;;71.92661;;;;;;;
South Sudan;SSD;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0784;;;;5.48403;;;;;;;;;
Sudan;SDN;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.4995;;;;;;;;;;;;;
Tanzania;TZA;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.93899;24.55251;26.54777;;;;;;
Togo;TGO;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.77007;;;;;;;;20.27586;23.46562;;;;;;;;;;;;;;;;;41.01339;;;;;;;
Tunisia;TUN;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;20.30324;21.48234;22.25563;;;28.70101;30.44482;32.36521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uganda;UGA;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.33839;;15.71306;;;19.94433;22.37343;;;;;;;;;;;;;;;;
Zambia;ZMB;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zimbabwe;ZWE;School enrollment, secondary (% net);SE.SEC.NENR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.41554;42.45882;43.33936;41.22522;37.23859;;;;;;;;;47.8753;48.73362;;;;;;;;;;;
