Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.6;24.38;26.23;27.74;31.84;28.308;25.43;26.853;28.548;29.77;27.3;25.9;23.72;17.65;15.27;12.27;13.79;11.33;10.16;9.96;9.96;10.97;9.82;10.207;11.206;10.202;12.0;12.137;12.259;14.057;13.63;12.346;11.701;11.427
Angola;AGO;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.855;16.978;17.399;17.4;16.987;16.275;16.172;16.371;16.593;16.682;16.7;16.488;16.498;16.378;16.36;16.206;16.153;16.228;16.431;16.618;16.77;16.562;16.492;16.406;16.49;16.575;16.61;16.594;16.497;16.69;15.799;14.602;14.537;14.464
Benin;BEN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.64;1.51;1.495;1.455;1.305;1.246;1.099;1.048;0.949;0.864;0.765;0.69;0.747;0.79;0.86;0.889;0.902;0.894;0.949;1.04;2.647;2.406;2.099;1.872;1.82;1.784;1.659;1.41;1.214;1.502;1.779;1.685;1.657;1.722
Bermuda;BMU;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;BWA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.82;16.326;18.759;21.2;21.394;21.593;21.048;20.86;18.236;15.88;18.54;21.268;23.8;21.758;19.847;17.782;16.998;16.328;16.169;17.86;18.054;17.952;18.203;18.514;18.93;19.329;19.664;19.681;20.094;21.017;23.106;23.615;23.381;23.138
Burkina Faso;BFA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.477;2.511;2.438;2.58;2.533;2.451;2.416;2.44;2.549;2.679;2.74;2.851;2.78;3.473;4.0;3.669;3.3;3.496;3.711;3.723;3.827;3.856;4.055;4.251;4.461;4.587;4.656;4.695;4.71;5.04;5.2;5.389;5.348;5.166
Burundi;BDI;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.158;3.133;3.08;3.095;3.077;3.076;3.116;3.159;3.125;3.129;3.15;3.169;3.134;3.177;3.153;3.185;2.401;1.634;1.621;1.616;1.602;1.593;1.584;1.572;1.442;1.347;1.247;1.146;1.043;1.03;1.118;0.915;0.921;0.902
Cabo Verde;CPV;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.535;13.448;13.314;13.016;12.969;12.934;13.078;13.117;13.13;13.088;13.278;13.397;13.592;13.465;13.45;13.397;13.323;13.335;13.517;10.67;10.948;11.142;11.392;11.674;11.907;12.077;12.24;12.17;12.128;14.69;13.976;12.246;11.971;11.878
Cameroon;CMR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.936;8.999;9.089;8.83;8.566;8.06;7.864;7.702;7.601;7.536;7.46;6.709;5.908;5.091;4.4;3.729;3.063;3.387;3.744;4.11;3.987;3.835;3.685;3.534;3.518;3.528;3.568;3.601;3.622;3.87;3.973;3.653;3.613;3.518
Central African Republic;CAF;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.334;5.455;5.521;5.551;5.51;5.488;5.449;5.421;5.411;5.362;5.405;5.437;5.433;5.352;5.314;5.235;5.191;5.139;5.202;5.291;5.281;5.243;5.243;5.326;5.477;5.491;5.534;5.517;5.607;6.196;6.375;5.956;5.877;5.899
