Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;DZA;Urban population (% of total population);SP.URB.TOTL.IN.ZS;30.51;31.797;33.214;34.662;36.141;37.643;38.84;39.004;39.169;39.334;39.5;39.665;39.831;39.997;40.163;40.33;40.497;40.928;41.794;42.665;43.542;44.42;45.303;46.189;47.079;47.968;48.86;49.722;50.511;51.298;52.085;52.871;53.657;54.439;55.219;55.997;56.774;57.544;58.313;59.118;59.919;60.712;61.501;62.284;63.061;63.83;64.593;65.348;66.097;66.826;67.54;68.236;68.915;69.576;70.221;70.848;71.459;72.052;72.629;73.189;73.733;74.261;74.772;75.268;75.748
Angola;AGO;Urban population (% of total population);SP.URB.TOTL.IN.ZS;10.435;10.798;11.204;11.624;12.058;12.504;12.965;13.441;13.932;14.436;14.957;15.632;16.455;17.31;18.202;19.128;20.092;21.088;22.122;23.192;24.298;25.437;26.612;27.821;29.065;30.338;31.643;32.978;34.343;35.731;37.144;38.58;40.039;41.511;43.0;44.169;45.346;46.525;47.71;48.897;50.087;51.274;52.461;53.645;54.827;56.0;56.764;57.524;58.282;59.034;59.783;60.528;61.268;62.002;62.731;63.446;64.149;64.839;65.514;66.177;66.825;67.46;68.081;68.688;69.281
Benin;BEN;Urban population (% of total population);SP.URB.TOTL.IN.ZS;9.275;9.856;10.47;11.118;11.801;12.519;13.275;14.069;14.903;15.776;16.691;17.647;18.648;19.689;20.775;21.904;23.079;24.293;25.552;26.676;27.339;28.01;28.692;29.384;30.086;30.796;31.517;32.246;32.985;33.73;34.485;35.247;35.827;36.136;36.447;36.758;37.071;37.385;37.699;38.015;38.333;38.65;39.036;39.536;40.039;40.543;41.049;41.558;42.069;42.58;43.093;43.608;44.125;44.642;45.166;45.695;46.229;46.768;47.312;47.861;48.415;48.972;49.534;50.1;50.669
Bermuda;BMU;Urban population (% of total population);SP.URB.TOTL.IN.ZS;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Botswana;BWA;Urban population (% of total population);SP.URB.TOTL.IN.ZS;3.06;3.097;3.134;3.171;3.318;3.839;4.437;5.124;5.912;6.81;7.834;8.998;9.695;10.381;11.11;11.884;12.705;13.572;14.489;15.457;16.479;17.552;19.489;21.723;24.139;26.724;29.483;32.401;35.467;38.648;41.933;45.292;46.443;47.286;48.133;48.981;49.83;50.677;51.525;52.372;53.219;54.062;54.57;55.029;55.488;55.944;56.4;57.928;59.444;60.937;62.412;63.865;64.768;65.572;66.368;67.155;67.933;68.7;69.446;70.172;70.877;71.56;72.224;72.867;73.49
Burkina Faso;BFA;Urban population (% of total population);SP.URB.TOTL.IN.ZS;4.7;4.796;4.893;4.993;5.095;5.198;5.303;5.411;5.52;5.632;5.746;5.861;5.98;6.1;6.222;6.347;6.668;7.151;7.668;8.218;8.805;9.428;10.091;10.796;11.544;12.334;12.832;13.072;13.316;13.563;13.815;14.07;14.33;14.593;14.86;15.131;15.407;15.875;16.51;17.166;17.844;18.54;19.258;19.996;20.757;21.537;22.339;22.996;23.534;24.079;24.633;25.196;25.767;26.346;26.934;27.53;28.134;28.743;29.358;29.98;30.607;31.24;31.877;32.52;33.166
Burundi;BDI;Urban population (% of total population);SP.URB.TOTL.IN.ZS;2.077;2.115;2.154;2.193;2.233;2.294;2.395;2.501;2.611;2.726;2.845;2.97;3.101;3.236;3.377;3.525;3.678;3.838;4.005;4.178;4.339;4.503;4.674;4.85;5.033;5.221;5.417;5.62;5.83;6.047;6.271;6.455;6.637;6.823;7.014;7.211;7.412;7.618;7.83;8.036;8.246;8.461;8.682;8.908;9.139;9.375;9.617;9.864;10.118;10.376;10.642;10.915;11.194;11.482;11.776;12.078;12.388;12.706;13.032;13.366;13.708;14.058;14.417;14.784;15.16
Cabo Verde;CPV;Urban population (% of total population);SP.URB.TOTL.IN.ZS;16.679;16.948;17.224;17.503;17.787;18.073;18.363;18.657;18.954;19.255;19.559;19.9;20.272;20.649;21.031;21.419;21.812;22.209;22.612;23.02;23.518;24.995;26.535;28.133;29.792;31.5;33.885;36.355;38.902;41.504;44.12;45.044;45.973;46.902;47.834;48.768;49.704;50.637;51.572;52.505;53.435;54.291;55.146;55.997;56.846;57.689;58.529;59.363;60.194;61.016;61.821;62.322;62.821;63.317;63.81;64.3;64.784;65.261;65.732;66.195;66.652;67.102;67.545;67.982;68.412
Cameroon;CMR;Urban population (% of total population);SP.URB.TOTL.IN.ZS;13.937;14.488;15.058;15.647;16.255;16.88;17.525;18.19;18.875;19.577;20.3;21.584;22.927;24.324;25.78;27.292;28.678;29.469;30.274;31.091;31.921;32.761;33.613;34.476;35.35;36.232;37.124;37.941;38.511;39.082;39.657;40.235;40.817;41.399;41.985;42.573;43.164;43.755;44.348;44.944;45.542;46.139;46.738;47.338;47.94;48.541;49.143;49.746;50.35;50.954;51.559;52.164;52.769;53.373;53.976;54.578;55.179;55.777;56.374;56.968;57.56;58.148;58.733;59.315;59.892
Central African Republic;CAF;Urban population (% of total population);SP.URB.TOTL.IN.ZS;20.1;20.751;21.418;22.1;22.803;23.519;24.252;25.0;25.815;26.645;27.492;28.356;29.238;30.133;31.045;31.971;32.575;32.897;33.221;33.546;33.874;34.202;34.532;34.864;35.198;35.532;35.868;36.206;36.545;36.744;36.825;36.906;36.987;37.068;37.149;37.231;37.312;37.394;37.475;37.557;37.639;37.72;37.802;37.884;37.966;38.069;38.193;38.339;38.506;38.694;38.904;39.135;39.388;39.663;39.959;40.277;40.618;40.98;41.364;41.77;42.198;42.648;43.12;43.614;44.13
